"","subnum","runnum","vif","value"
"112","0_057","Run2","des.matV4",10.9245183731142
"113","0_057","Run2","des.matV5",3.38274418330585
"114","0_057","Run2","des.matV6",2.63365336461023
"115","0_057","Run2","des.matV7",2.78168921564017
"116","0_057","Run2","des.matV8",2.7892895054659
"117","0_057","Run2","des.matV9",2.69429934562102
"118","0_057","Run2","des.matV10",2.93611025848509
"119","0_057","Run2","des.matV11",2.84315320343401
"120","0_057","Run2","des.matV12",2.37445113908573
"121","1_004","Run1","des.matV1",3.30032775484011
"122","1_004","Run1","des.matV2",2.77267866900096
"123","1_004","Run1","des.matV3",1.49464759765786
"124","1_004","Run1","des.matV4",1.193401657165
"125","1_004","Run1","des.matV5",2.95205671842225
"126","1_004","Run1","des.matV6",2.32098594644586
"127","1_004","Run1","des.matV7",1.60485196675573
"128","1_004","Run1","des.matV8",1.49562141086169
"129","1_004","Run1","des.matV9",1.61081457938274
"130","1_004","Run1","des.matV10",1.33505649577781
"131","1_004","Run1","des.matV11",1.32492442223165
"132","1_004","Run1","des.matV12",1.36389710514706
"133","1_004","Run2","des.matV1",3.05056830091919
"134","1_004","Run2","des.matV2",2.51193501842247
"135","1_004","Run2","des.matV3",1.14105034000145
"136","1_004","Run2","des.matV4",1.06132680027684
"137","1_004","Run2","des.matV5",1.92458944144991
"138","1_004","Run2","des.matV6",1.71577899806015
"139","1_004","Run2","des.matV7",2.06394186289802
"140","1_004","Run2","des.matV8",1.74751288844186
"141","1_004","Run2","des.matV9",1.93449154465714
"142","1_004","Run2","des.matV10",1.50695616018083
"143","1_004","Run2","des.matV11",1.4188312265596
"144","1_004","Run2","des.matV12",1.35789808565262
"145","1_007","Run1","des.matV1",2.34226817374199
"146","1_007","Run1","des.matV2",2.35318063481158
"147","1_007","Run1","des.matV3",50.3755484113187
"148","1_007","Run1","des.matV4",17.1962993990581
"149","1_007","Run1","des.matV5",1.88394985095602
"150","1_007","Run1","des.matV6",1.66094263698892
"151","1_007","Run1","des.matV7",2.40596693728189
"152","1_007","Run1","des.matV8",2.25903749879019
"153","1_007","Run1","des.matV9",1.7215583512
"154","1_007","Run1","des.matV10",1.51399627751045
"155","1_007","Run1","des.matV11",2.81230378125984
"156","1_007","Run1","des.matV12",2.86491015165554
"157","1_007","Run2","des.matV1",3.97753959854752
"158","1_007","Run2","des.matV2",3.78818622281294
"159","1_007","Run2","des.matV3",2.55520711701307
"160","1_007","Run2","des.matV4",2.8303791643503
"161","1_007","Run2","des.matV5",3.75417731870253
"162","1_007","Run2","des.matV6",3.17881143568588
"163","1_007","Run2","des.matV7",3.07851670221632
"164","1_007","Run2","des.matV8",2.94599727013429
"165","1_007","Run2","des.matV9",2.84386200585438
"166","1_007","Run2","des.matV10",2.98678303594009
"167","1_007","Run2","des.matV11",2.96955236013819
"168","1_007","Run2","des.matV12",6.09559357662867
"169","1_015","Run1","des.matV1",2.72018836890597
"170","1_015","Run1","des.matV2",2.49878414035049
"171","1_015","Run1","des.matV3",1.4015531478707
"172","1_015","Run1","des.matV4",1.27940988250187
"173","1_015","Run1","des.matV5",2.17800535463429
"174","1_015","Run1","des.matV6",1.78981567600298
"175","1_015","Run1","des.matV7",1.81093490987526
"176","1_015","Run1","des.matV8",2.0509228335567
"177","1_015","Run1","des.matV9",1.49912964949761
"178","1_015","Run1","des.matV10",1.5158201885949
"179","1_015","Run1","des.matV11",1.78733950965226
"180","1_015","Run1","des.matV12",1.60289157056114
"181","1_015","Run2","des.matV1",2.33562294807285
"182","1_015","Run2","des.matV2",2.1826090919919
"183","1_015","Run2","des.matV3",1.48247410756705
"184","1_015","Run2","des.matV4",1.41200326983463
"185","1_015","Run2","des.matV5",1.61977256342166
"186","1_015","Run2","des.matV6",1.44461483905284
"187","1_015","Run2","des.matV7",2.03142517273556
"188","1_015","Run2","des.matV8",2.02830668486886
"189","1_015","Run2","des.matV9",1.52533348311671
"190","1_015","Run2","des.matV10",1.43542481575565
"191","1_015","Run2","des.matV11",1.51524097224056
"192","1_015","Run2","des.matV12",1.6117231299695
"193","1_020","Run1","des.matV1",2.11064704148121
"194","1_020","Run1","des.matV2",2.14429048056563
"195","1_020","Run1","des.matV3",NA
"196","1_020","Run1","des.matV4",NA
"197","1_020","Run1","des.matV5",1.6398249630307
"198","1_020","Run1","des.matV6",1.65675885412364
"199","1_020","Run1","des.matV7",2.02880724916705
"200","1_020","Run1","des.matV8",1.62930255886246
"201","1_020","Run1","des.matV9",1.32177255581044
"202","1_020","Run1","des.matV10",1.16076048259564
"203","1_020","Run1","des.matV11",1.69702731059173
"204","1_020","Run1","des.matV12",1.64436078131775
"205","1_020","Run2","des.matV1",2.66887867199975
"206","1_020","Run2","des.matV2",2.09192102998867
"207","1_020","Run2","des.matV3",1.34009064741765
"208","1_020","Run2","des.matV4",1.38508483209209
"209","1_020","Run2","des.matV5",1.71371179684855
"210","1_020","Run2","des.matV6",1.72148863142697
"211","1_020","Run2","des.matV7",1.86309182225422
"212","1_020","Run2","des.matV8",1.68617134965524
"213","1_020","Run2","des.matV9",1.74887834868898
"214","1_020","Run2","des.matV10",1.63328782001751
"215","1_020","Run2","des.matV11",1.59954270322584
"216","1_020","Run2","des.matV12",1.37874623863601
"217","1_028","Run1","des.matV1",2.96443778234793
"218","1_028","Run1","des.matV2",2.58603073916104
"219","1_028","Run1","des.matV3",5.45570418989499
"220","1_028","Run1","des.matV4",3.96535097607543
"221","1_028","Run1","des.matV5",1.88564649845738
"222","1_028","Run1","des.matV6",1.60109480261707
"223","1_028","Run1","des.matV7",2.02096273240992
"224","1_028","Run1","des.matV8",1.99667623467174
"225","1_028","Run1","des.matV9",1.68002730027736
"226","1_028","Run1","des.matV10",1.36552318600266
"227","1_028","Run1","des.matV11",1.97588236406178
"228","1_028","Run1","des.matV12",1.82238713453285
"229","1_028","Run2","des.matV1",2.50132202367114
"230","1_028","Run2","des.matV2",2.48011310749017
"231","1_028","Run2","des.matV3",1.52900066677175
"232","1_028","Run2","des.matV4",1.25090429121746
"233","1_028","Run2","des.matV5",2.00143194670049
"234","1_028","Run2","des.matV6",1.79127441446337
"235","1_028","Run2","des.matV7",1.82710924850444
"236","1_028","Run2","des.matV8",1.65271950305029
"237","1_028","Run2","des.matV9",1.71912917570252
"238","1_028","Run2","des.matV10",1.5304440956196
"239","1_028","Run2","des.matV11",1.41751135130699
"240","1_028","Run2","des.matV12",1.66942774778015
"241","2_008","Run2","des.matV1",2.0919284978599
"242","2_008","Run2","des.matV2",2.07437128510066
"243","2_008","Run2","des.matV3",1.48987099971084
"244","2_008","Run2","des.matV4",1.38465212337792
"245","2_008","Run2","des.matV5",2.01626181704249
"246","2_008","Run2","des.matV6",1.83809443455764
"247","2_008","Run2","des.matV7",1.87049583489952
"248","2_008","Run2","des.matV8",1.85198341069582
"249","2_008","Run2","des.matV9",1.21566019485957
"250","2_008","Run2","des.matV10",1.16376610336475
"251","2_008","Run2","des.matV11",1.3547432099422
"252","2_008","Run2","des.matV12",1.3718361980211
"253","2_010","Run1","des.matV1",3.05688212867653
"254","2_010","Run1","des.matV2",2.90544248063034
"255","2_010","Run1","des.matV3",1.45444068264799
"256","2_010","Run1","des.matV4",1.26596141367475
"257","2_010","Run1","des.matV5",2.09408772428918
"258","2_010","Run1","des.matV6",1.98767034831148
"259","2_010","Run1","des.matV7",1.64223317598099
"260","2_010","Run1","des.matV8",1.6306204245163
"261","2_010","Run1","des.matV9",1.52408298160171
"262","2_010","Run1","des.matV10",1.46035981220225
"263","2_010","Run1","des.matV11",1.85812773555266
"264","2_010","Run1","des.matV12",1.81568813605955
"265","2_010","Run2","des.matV1",2.17980984335871
"266","2_010","Run2","des.matV2",2.03190496191024
"267","2_010","Run2","des.matV3",1.28408960162932
"268","2_010","Run2","des.matV4",1.21920570218706
"269","2_010","Run2","des.matV5",1.94842218654133
"270","2_010","Run2","des.matV6",1.57957122866221
"271","2_010","Run2","des.matV7",1.61427748813589
"272","2_010","Run2","des.matV8",1.74989766111056
"273","2_010","Run2","des.matV9",1.44359134922443
"274","2_010","Run2","des.matV10",1.42788273638076
"275","2_010","Run2","des.matV11",2.06905326025184
"276","2_010","Run2","des.matV12",1.99546534671897
"277","2_011","Run1","des.matV1",2.4412897967227
"278","2_011","Run1","des.matV2",2.27167137230487
"279","2_011","Run1","des.matV3",1.56147274445028
"280","2_011","Run1","des.matV4",1.86401704624148
"281","2_011","Run1","des.matV5",1.84335932123579
"282","2_011","Run1","des.matV6",1.63847873343251
"283","2_011","Run1","des.matV7",1.85296911022679
"284","2_011","Run1","des.matV8",1.98084792324437
"285","2_011","Run1","des.matV9",1.27903998130468
"286","2_011","Run1","des.matV10",1.39671568359005
"287","2_011","Run1","des.matV11",1.40923013491176
"288","2_011","Run1","des.matV12",1.48616188228562
"289","2_027","Run1","des.matV1",2.32077264097204
"290","2_027","Run1","des.matV2",2.30060191312059
"291","2_027","Run1","des.matV3",1.27414089444223
"292","2_027","Run1","des.matV4",1.12800897735711
"293","2_027","Run1","des.matV5",1.78638485093584
"294","2_027","Run1","des.matV6",1.66370932508642
"295","2_027","Run1","des.matV7",1.69436419725129
"296","2_027","Run1","des.matV8",1.80209959631239
"297","2_027","Run1","des.matV9",1.17920635831384
"298","2_027","Run1","des.matV10",1.19137249284722
"299","2_027","Run1","des.matV11",1.32423495931491
"300","2_027","Run1","des.matV12",1.33049801953509
"301","2_027","Run2","des.matV1",3.4924364694553
"302","2_027","Run2","des.matV2",2.65109216933284
"303","2_027","Run2","des.matV3",1.30539097894998
"304","2_027","Run2","des.matV4",1.26458881719613
"305","2_027","Run2","des.matV5",2.14334980351352
"306","2_027","Run2","des.matV6",2.03522464440029
"307","2_027","Run2","des.matV7",2.59485075387464
"308","2_027","Run2","des.matV8",2.14351994893062
"309","2_027","Run2","des.matV9",1.43252866017473
"310","2_027","Run2","des.matV10",1.40171153703613
"311","2_027","Run2","des.matV11",1.4161254179814
"312","2_027","Run2","des.matV12",1.29139377096077
"313","2_031","Run1","des.matV1",3.40516119506568
"314","2_031","Run1","des.matV2",2.69128288698654
"315","2_031","Run1","des.matV3",1.38468188388435
"316","2_031","Run1","des.matV4",1.34801765079943
"317","2_031","Run1","des.matV5",2.88516735570616
"318","2_031","Run1","des.matV6",2.55414895568589
"319","2_031","Run1","des.matV7",2.38822670929023
"320","2_031","Run1","des.matV8",1.85537655599076
"321","2_031","Run1","des.matV9",1.7867099278238
"322","2_031","Run1","des.matV10",1.62305674216782
"323","2_031","Run1","des.matV11",1.98240078571963
"324","2_031","Run1","des.matV12",1.6926416977812
"325","2_031","Run2","des.matV1",2.59488005837634
"326","2_031","Run2","des.matV2",2.60846747891419
"327","2_031","Run2","des.matV3",1.1362589675645
"328","2_031","Run2","des.matV4",1.10384301555216
"329","2_031","Run2","des.matV5",2.06450305321561
"330","2_031","Run2","des.matV6",1.93859724831468
"331","2_031","Run2","des.matV7",1.82582240911175
"332","2_031","Run2","des.matV8",1.82469006668775
"333","2_031","Run2","des.matV9",1.15154227747971
"334","2_031","Run2","des.matV10",1.13516561456586
"335","2_031","Run2","des.matV11",1.45258538344933
"336","2_031","Run2","des.matV12",1.37670053947417
"337","0_013_second","Run1","des.matV1",2.98614510847281
"338","0_013_second","Run1","des.matV2",3.04824202271239
"339","0_013_second","Run1","des.matV3",1.45207434912989
"340","0_013_second","Run1","des.matV4",1.32581509940113
"341","0_013_second","Run1","des.matV5",2.15269990080659
"342","0_013_second","Run1","des.matV6",1.79314201651708
"343","0_013_second","Run1","des.matV7",2.07725880675993
"344","0_013_second","Run1","des.matV8",1.72347095141368
"345","0_013_second","Run1","des.matV9",1.64790779960632
"346","0_013_second","Run1","des.matV10",1.55493577863407
"347","0_013_second","Run1","des.matV11",2.24773437177769
"348","0_013_second","Run1","des.matV12",1.71719209108057
"349","0_013_second","Run2","des.matV1",2.62146801182716
"350","0_013_second","Run2","des.matV2",2.50019435637763
"351","0_013_second","Run2","des.matV3",1.44223931926714
"352","0_013_second","Run2","des.matV4",1.23399066093522
"353","0_013_second","Run2","des.matV5",2.07256665020523
"354","0_013_second","Run2","des.matV6",2.05778016171149
"355","0_013_second","Run2","des.matV7",2.00832060276336
"356","0_013_second","Run2","des.matV8",1.86289445427793
"357","0_013_second","Run2","des.matV9",1.37808586670011
"358","0_013_second","Run2","des.matV10",1.26323225437857
"359","0_013_second","Run2","des.matV11",1.31221160969923
"360","0_013_second","Run2","des.matV12",1.27749726530198
"361","0_026_second","Run1","des.matV1",2.3132394239184
"362","0_026_second","Run1","des.matV2",2.17995845655464
"363","0_026_second","Run1","des.matV3",1.49297043961357
"364","0_026_second","Run1","des.matV4",1.39305973677233
"365","0_026_second","Run1","des.matV5",1.86155232227586
"366","0_026_second","Run1","des.matV6",1.87209571129824
"367","0_026_second","Run1","des.matV7",2.0467281136653
"368","0_026_second","Run1","des.matV8",1.75207846693537
"369","0_026_second","Run1","des.matV9",1.54859154313542
"370","0_026_second","Run1","des.matV10",1.31443701968005
"371","0_026_second","Run1","des.matV11",1.48546291896393
"372","0_026_second","Run1","des.matV12",1.22410897573628
"373","0_049_second","Run1","des.matV1",2.83154822834501
"374","0_049_second","Run1","des.matV2",2.7593469805545
"375","0_049_second","Run1","des.matV3",1.24920862626813
"376","0_049_second","Run1","des.matV4",1.10119370334489
"377","0_049_second","Run1","des.matV5",2.20063130328661
"378","0_049_second","Run1","des.matV6",1.75786325348367
"379","0_049_second","Run1","des.matV7",2.18764326866878
"380","0_049_second","Run1","des.matV8",2.00854517204336
"381","0_049_second","Run1","des.matV9",1.29125749896024
"382","0_049_second","Run1","des.matV10",1.33302361042667
"383","0_049_second","Run1","des.matV11",1.22381681500704
"384","0_049_second","Run1","des.matV12",2.49770057244197
"385","0_049_second","Run2","des.matV1",2.60836489355739
"386","0_049_second","Run2","des.matV2",2.33629698641195
"387","0_049_second","Run2","des.matV3",1.32651259432277
"388","0_049_second","Run2","des.matV4",1.19391988696993
"389","0_049_second","Run2","des.matV5",1.89791086656818
"390","0_049_second","Run2","des.matV6",1.57948198709111
"391","0_049_second","Run2","des.matV7",1.75021652458985
"392","0_049_second","Run2","des.matV8",1.85927317750978
"393","0_049_second","Run2","des.matV9",1.41305804109031
"394","0_049_second","Run2","des.matV10",1.30539765875346
"395","0_049_second","Run2","des.matV11",1.30331744578095
"396","0_049_second","Run2","des.matV12",1.24082734472544
"397","1_001_second","Run1","des.matV1",2.66269262303516
"398","1_001_second","Run1","des.matV2",2.45309517249585
"399","1_001_second","Run1","des.matV3",1.18798474524665
"400","1_001_second","Run1","des.matV4",1.21909071400496
"401","1_001_second","Run1","des.matV5",2.07478395821779
"402","1_001_second","Run1","des.matV6",2.11569055027867
"403","1_001_second","Run1","des.matV7",1.6194586965615
"404","1_001_second","Run1","des.matV8",1.54689515575242
"405","1_001_second","Run1","des.matV9",1.2519199800977
"406","1_001_second","Run1","des.matV10",1.19144520573078
"407","1_001_second","Run1","des.matV11",1.84527631385375
"408","1_001_second","Run1","des.matV12",1.49421240070597
"409","1_004_second","Run1","des.matV1",2.67756784113447
"410","1_004_second","Run1","des.matV2",2.604211856668
"411","1_004_second","Run1","des.matV3",NA
"412","1_004_second","Run1","des.matV4",NA
"413","1_004_second","Run1","des.matV5",1.7634590566529
"414","1_004_second","Run1","des.matV6",1.59792804876729
"415","1_004_second","Run1","des.matV7",2.06382482516664
"416","1_004_second","Run1","des.matV8",1.79928467751843
"417","1_004_second","Run1","des.matV9",1.44125904571996
"418","1_004_second","Run1","des.matV10",1.28580789032485
"419","1_004_second","Run1","des.matV11",NA
"420","1_004_second","Run1","des.matV12",NA
"421","1_004_second","Run2","des.matV1",2.86495912170883
"422","1_004_second","Run2","des.matV2",2.61769755905798
"423","1_004_second","Run2","des.matV3",2.57911902834765
"424","1_004_second","Run2","des.matV4",3.40059666435558
"425","1_004_second","Run2","des.matV5",2.35870215961406
"426","1_004_second","Run2","des.matV6",1.8477091054167
"427","1_004_second","Run2","des.matV7",1.88658744056774
"428","1_004_second","Run2","des.matV8",1.83128295393573
"429","1_004_second","Run2","des.matV9",1.65562069950906
"430","1_004_second","Run2","des.matV10",1.50018027522725
"431","1_004_second","Run2","des.matV11",1.89879939400097
"432","1_004_second","Run2","des.matV12",2.04783932279054
"433","1_015_second","Run1","des.matV1",2.84449975309654
"434","1_015_second","Run1","des.matV2",2.26934042721328
"435","1_015_second","Run1","des.matV3",8.48572190473489
"436","1_015_second","Run1","des.matV4",4.76749242057755
"437","1_015_second","Run1","des.matV5",1.96887763873375
"438","1_015_second","Run1","des.matV6",1.79593576457023
"439","1_015_second","Run1","des.matV7",1.81395071932064
"440","1_015_second","Run1","des.matV8",1.70306804743242
"441","1_015_second","Run1","des.matV9",1.8537802994916
"442","1_015_second","Run1","des.matV10",1.56216720558628
"443","1_015_second","Run1","des.matV11",2.35327418063714
"444","1_015_second","Run1","des.matV12",2.37721238158088
"445","1_015_second","Run2","des.matV1",3.25151500913403
"446","1_015_second","Run2","des.matV2",2.79695462276283
"447","1_015_second","Run2","des.matV3",1.33665225661477
"448","1_015_second","Run2","des.matV4",1.28228440606164
"449","1_015_second","Run2","des.matV5",2.01091115462801
"450","1_015_second","Run2","des.matV6",1.75116423118864
"451","1_015_second","Run2","des.matV7",2.44314327557087
"452","1_015_second","Run2","des.matV8",2.14192241771921
"453","1_015_second","Run2","des.matV9",1.42236697607716
