"subind","runnum","outliers"
"1794_1_second","1",14
"1986_1_second","1",29
"1986_1_second","2",97
"1986_1_second","3",86
"2436_2_second","1",10
"2436_2_second","2",15
"2436_2_second","3",41
"2569_2_second","1",1
"2569_2_second","2",0
"2569_2_second","3",9
"2748_1_second","1",31
"2748_1_second","2",43
"2748_1_second","3",21
