"subind","runnum","outliers"
"0_013_third","1",41
"0_013_third","2",51
"0_013_third","3",43
"0_026_third","1",17
"0_026_third","2",41
"1_001_third","1",23
"1_001_third","2",27
"1_001_third","3",78
"1_004_third","1",6
"1_004_third","2",65
"1_004_third","3",49
"1_007_third","1",32
"1_007_third","2",70
"1_007_third","3",6
"1_007_third","3",54
"1_036_third","1",1
"1_036_third","2",0
"1_036_third","3",0
"2_003_third","1",4
"2_003_third","2",69
"2_005_third","1",4
"2_005_third","2",13
"2_005_third","3",2
"2_008_third","1",0
"2_008_third","2",0
"2_008_third","3",1
"2_010_third","1",13
"2_010_third","2",16
"2_010_third","3",66
"2_034_third","1",0
"2_034_third","2",0
"2_034_third","3",0
