"subind","runnum","outliers"
"8960_c_third","1",3
"8960_c_third","2",2
"8960_c_third","3",8
"8961_c_third","1",0
"8961_c_third","2",0
"8961_c_third","3",0
"8963_c_third","1",0
"8963_c_third","2",2
"8963_c_third","3",1
