"subind","N","go_rt_mean","go_rt_se","go_acc_mean","go_error_mean","groups"
"1690_2_third",2,0.711847,0.00138049999999995,0.84375,0.015625,"H_third"
"1697_1_third",1,0.737037,NA,0.885416666666667,0.0104166666666667,"H_third"
"2079_2_third",2,0.60936675,0.01681875,0.755208333333333,0.0572916666666667,"H_third"
"2167_2_third",2,0.54776675,0.00796574999999999,0.932291666666667,0.0208333333333333,"H_third"
"2416_1_third",2,0.651977,0.028038,0.817708333333333,0,"H_third"
"2479_1_third",2,0.617989,0.024125,0.921875,0.00520833333333333,"H_third"
"2798_1_third",1,0.605112,NA,0.666666666666667,0.0208333333333333,"H_third"
"DFHO1794_1",2,0.52797875,0.0888677500000001,0.723958333333333,0.151041666666667,"H2_first"
"DFHO5782_1",2,0.66205925,0.00339774999999998,0.744791666666667,0.0520833333333333,"H2_first"
"DFHO6598_0",2,0.68996,0.0117055,0.822916666666667,0.00520833333333333,"H2_first"
"DFHO9087_1",2,0.48887125,0.02673075,0.880208333333333,0.0572916666666667,"H2_first"
"FHO10238_1",2,0.604453,0.00318000000000002,0.588541666666667,0.015625,"H2_first"
"FHO10328_1",2,0.5814745,0.0169990000000001,0.875,0.0833333333333333,"H2_first"
"FHO10493_1",2,0.5599335,0.00389149999999999,0.947916666666667,0.0208333333333333,"H2_first"
"FHO12307_1",2,0.68123325,0.00960074999999999,0.890625,0.0364583333333333,"H2_first"
"c_032",1,0.600954,NA,0.90625,0.03125,"A_control"
"c_037",2,0.643495,0.038769,0.963541666666667,0.015625,"A_control"
"c_039",2,0.6111955,0.00801650000000004,0.921875,0.046875,"A_control"
"c_043",2,0.6287545,0.0220545,0.942708333333333,0.0104166666666667,"A_control"
"c_044",2,0.658261,0.010295,0.885416666666667,0.015625,"A_control"
"c_045",2,0.6303605,0.0132955,0.932291666666667,0.0208333333333333,"A_control"
"c_046",2,0.581722,0.019094,0.973958333333333,0.015625,"A_control"
"c_058",2,0.65785025,0.00328574999999998,0.901041666666667,0.0260416666666667,"A_control"
"c_059",2,0.682645,0.00870999999999999,0.963541666666667,0.015625,"A_control"
"c_061",2,0.58327175,0.02089075,0.911458333333333,0.046875,"A_control"
"c_062",2,0.63147875,0.05533575,0.911458333333333,0.0260416666666667,"A_control"
"c_078",2,0.579608,0.00960499999999997,0.932291666666667,0.0260416666666667,"A_control"
"c_079",2,0.699471,0.068742,0.875,0,"A_control"
"c_081",2,0.51995,0.014489,0.885416666666667,0.0572916666666667,"A_control"
"c_082",2,0.589789,0.028729,0.921875,0.0416666666666667,"A_control"
"c_084",2,0.70677675,0.04105025,0.84375,0.0104166666666667,"A_control"
"c_085",2,0.5962785,0.00108049999999998,0.869791666666667,0.0729166666666667,"A_control"
"c_086",2,0.61724,0.00535550000000007,0.885416666666667,0.0208333333333333,"A_control"
"c_101",2,0.69665475,0.0511637499999999,0.84375,0.03125,"A_control"
"c_103",2,0.62692725,0.01724575,0.776041666666667,0.0625,"A_control"
"8957",2,0.70515275,0.04756175,0.8125,0.0208333333333333,"H_control_first"
"8960",2,0.84118275,0.00631525000000005,0.802083333333333,0.00520833333333333,"H_control_first"
