"groups","N","go_rt_me","go_rt_se","go_acc_me","go_acc_se"
"A_control",20,0.627134175,0.0106152247858742,0.90234375,0.0105722684746428
"A_first",13,0.641567788461539,0.0212607043053416,0.88661858974359,0.0158915328853029
"A_first2",20,0.664039,0.0171686278015788,0.861979166666667,0.0175955029028718
"H2_first",8,0.60887653125,0.0244480613495878,0.826171875,0.0331154742943811
