"subind","cond_type","groups","city","sense","active","ID","subtype","N","rt_mean","acc_mean"
"1_015","passive_ns","A_second","austin","nonsense","passive","1","i",3,6.62912539640833,0.875
"1_015","passive_s","A_first","austin","sense","passive","1","i",2,6.6527672409975,0.4375
"1_015","passive_s","A_second","austin","sense","passive","1","i",3,6.33353900909333,0.541666666666667
"1_020","active_ns","A_first","austin","nonsense","active","1","i",2,6.0112532377225,0.5625
"1_020","active_ns","A_second","austin","nonsense","active","1","i",3,4.318310340245,1
"1_020","active_s","A_first","austin","sense","active","1","i",2,4.528674960135,0.75
"1_020","active_s","A_second","austin","sense","active","1","i",3,4.74732685089,0.75
"1_020","passive_ns","A_first","austin","nonsense","passive","1","i",2,5.70072180033,0.8125
"1_020","passive_ns","A_second","austin","nonsense","passive","1","i",3,4.76724270979667,0.958333333333333
"1_020","passive_s","A_first","austin","sense","passive","1","i",2,4.860715031625,0.875
"1_020","passive_s","A_second","austin","sense","passive","1","i",3,4.50136295954333,0.625
"1_028","active_ns","A_first","austin","nonsense","active","1","i",2,4.12632071972,1
"1_028","active_ns","A_second","austin","nonsense","active","1","i",3,3.50266067186833,0.958333333333333
"1_028","active_s","A_first","austin","sense","active","1","i",2,4.74413627386,0.875
"1_028","active_s","A_second","austin","sense","active","1","i",3,3.16255450248667,0.666666666666667
"1_028","passive_ns","A_first","austin","nonsense","passive","1","i",2,4.7262745499625,0.8125
"1_028","passive_ns","A_second","austin","nonsense","passive","1","i",3,3.792084852855,1
"1_028","passive_s","A_first","austin","sense","passive","1","i",2,5.0808134675025,0.625
"1_028","passive_s","A_second","austin","sense","passive","1","i",3,3.968230843545,0.5
"1_036","active_ns","A_second","austin","nonsense","active","1","i",2,4.33843100071,0.875
"1_036","active_ns","A_third","austin","nonsense","active","1","i",3,4.35197067260667,0.791666666666667
"1_036","active_s","A_second","austin","sense","active","1","i",2,4.679252803325,0.6875
"1_036","active_s","A_third","austin","sense","active","1","i",3,4.16041147708833,0.791666666666667
"1_036","passive_ns","A_second","austin","nonsense","passive","1","i",2,4.887304246425,0.75
"1_036","passive_ns","A_third","austin","nonsense","passive","1","i",3,5.62238832314833,0.875
"1_036","passive_s","A_second","austin","sense","passive","1","i",2,5.35336053371,0.5
"1_036","passive_s","A_third","austin","sense","passive","1","i",3,4.411447286605,0.833333333333333
"1589_2","active_ns","H_third","houston","nonsense","active","2","i",2,3.30263161534,0.75
"1589_2","active_s","H_third","houston","sense","active","2","i",2,4.046618631015,0.669642857142857
"1589_2","passive_ns","H_third","houston","nonsense","passive","2","i",2,4.31494473503,0.875
"1589_2","passive_s","H_third","houston","sense","passive","2","i",2,4.097006378765,0.5625
"1627_2","active_ns","H_first","houston","nonsense","active","2","i",2,6.1077467178875,0.6875
"1627_2","active_s","H_first","houston","sense","active","2","i",2,5.80227680323,0.669642857142857
"1627_2","passive_ns","H_first","houston","nonsense","passive","2","i",2,5.935658794815,0.5625
"1627_2","passive_s","H_first","houston","sense","passive","2","i",2,5.5744374469825,0.5625
"1632","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.68557680872333,1
"1632","active_ns","H_control_second","houston","nonsense","active","c","c",3,2.99617014921167,0.958333333333333
"1632","active_s","H_control_first","houston","sense","active","c","c",3,3.211736694645,0.833333333333333
"1632","active_s","H_control_second","houston","sense","active","c","c",3,2.63051053877333,1
"1632","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,3.804633919905,1
"1632","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.07594632703333,1
"1632","passive_s","H_control_first","houston","sense","passive","c","c",3,3.00729959404333,0.875
"1632","passive_s","H_control_second","houston","sense","passive","c","c",3,2.8338369734,0.916666666666667
"1643","active_ns","H_control_first","houston","nonsense","active","c","c",3,3.98790437717,0.916666666666667
"1643","active_ns","H_control_second","houston","nonsense","active","c","c",3,2.94500256230333,1
"1643","active_s","H_control_first","houston","sense","active","c","c",3,3.32762321630667,0.738095238095238
"1643","active_s","H_control_second","houston","sense","active","c","c",3,3.28941839623833,0.910714285714286
"1643","passive_ns","H_control_first","houston","nonsense","passive","c","c",3,4.47503155677667,0.916666666666667
"1643","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.47677524216667,1
"1643","passive_s","H_control_first","houston","sense","passive","c","c",3,4.41816403307667,0.791666666666667
"1643","passive_s","H_control_second","houston","sense","passive","c","c",3,4.30149802819333,0.833333333333333
"1697_1","active_ns","H_third","houston","nonsense","active","1","i",3,3.860363240095,0.791666666666667
"1697_1","active_s","H_third","houston","sense","active","1","i",3,3.72868929798667,0.875
"1697_1","passive_ns","H_third","houston","nonsense","passive","1","i",3,4.14399695548167,1
"1697_1","passive_s","H_third","houston","sense","passive","1","i",3,4.14240238999,0.75
"1702","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.56311318572667,0.916666666666667
"1702","active_s","H_control_second","houston","sense","active","c","c",3,3.081071101755,1
"1702","passive_ns","H_control_second","houston","nonsense","passive","c","c",3,3.79174779697167,0.916666666666667
"1702","passive_s","H_control_second","houston","sense","passive","c","c",3,3.19334753904,0.958333333333333
"1794_1","active_ns","H_first","houston","nonsense","active","1","i",1,7.0949549116,0.625
"1794_1","active_ns","H_second","houston","nonsense","active","1","i",1,5.875841990305,0.75
"1794_1","active_s","H_first","houston","sense","active","1","i",1,6.162794749885,0.5
"1794_1","active_s","H_second","houston","sense","active","1","i",1,5.377195457125,0.75
"1794_1","passive_ns","H_first","houston","nonsense","passive","1","i",1,5.85224288272,0.875
"1794_1","passive_ns","H_second","houston","nonsense","passive","1","i",1,5.27032353606,0.714285714285714
"1794_1","passive_s","H_first","houston","sense","passive","1","i",1,6.8007050409,0.625
"1794_1","passive_s","H_second","houston","sense","passive","1","i",1,5.20556930556,0.5
"1986_1","active_ns","H_second","houston","nonsense","active","1","i",2,4.82710266434,0.75
"1986_1","active_s","H_second","houston","sense","active","1","i",2,4.227717977105,0.625
