"subind","runnum","group","N","rt_median","acc_avg"
"ldrc_1_015_second","1","A_second",32,6.193281054495,0.6875
"ldrc_1_015_second","2","A_second",32,6.957533836365,0.8125
"ldrc_1_015_second","3","A_second",32,5.86295700073,0.71875
"ldrc_1_020_second","1","A_second",32,5.0728290081,0.84375
"ldrc_1_020_second","2","A_second",32,4.458110570905,0.8125
"ldrc_1_020_second","3","A_second",32,3.96978497505,0.84375
"ldrc_1_028_second","1","A_second",32,3.41606497765,0.78125
"ldrc_1_028_second","2","A_second",32,3.55197906494,0.71875
"ldrc_1_028_second","3","A_second",32,3.31390500069,0.84375
"ldrc_1_036_second","1","A_second",32,5.31914806366,0.71875
"ldrc_1_036_second","2","A_second",32,4.747050523755,0.6875
"ldrc_2_005_second","1","A_second",32,5.682831406595,0.9375
"ldrc_2_005_second","2","A_second",32,5.16486096382,0.84375
"ldrc_2_005_second","3","A_second",32,4.25215291977,0.8125
"ldrc_2_008_second","1","A_second",32,4.66569495201,0.90625
"ldrc_2_008_second","2","A_second",32,4.62543988228,0.96875
"ldrc_2_008_second","3","A_second",32,4.18100142479,0.875
"ldrc_2_010_second","1","A_second",32,4.31182909012,0.90625
"ldrc_2_010_second","2","A_second",32,4.11387848854,0.875
"ldrc_2_010_second","3","A_second",32,5.14688098431,0.75
"ldrc_2_031_second","1","A_second",32,3.8782749176,0.96875
"ldrc_2_031_second","2","A_second",32,3.76381444931,0.875
"ldrc_2_034_second","1","A_second",32,4.82377254963,0.75
"ldrc_2_034_second","2","A_second",32,5.883667945865,0.6875
"ldrc_2_048_second","1","A_second",32,5.41250395775,0.96875
"ldrc_2_048_second","3","A_second",32,4.95258903503,0.84375
"ldrc_0_013_third","1","A_third",32,4.03876948357,0.9375
"ldrc_0_013_third","2","A_third",32,3.92423796654,0.78125
"ldrc_0_013_third","3","A_third",32,4.37339687347,0.90625
"ldrc_0_026_third","1","A_third",32,5.918989419935,0.9375
"ldrc_0_026_third","2","A_third",32,5.28873848915,0.6875
"ldrc_0_068_third","2","A_third",32,2.8835464716,0.875
"ldrc_0_068_third","3","A_third",32,2.7270181179,0.96875
"ldrc_1_001_third","1","A_third",32,3.75138092041,0.90625
"ldrc_1_001_third","2","A_third",32,4.00718903542,0.96875
"ldrc_1_001_third","3","A_third",32,3.86100256443,0.9375
"ldrc_1_004_third","1","A_third",32,5.94393086433,0.84375
