"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.705110430315301,0.0236364668024199,173,29.8314649227994,4.16103995085594e-70
"cond_typepassive_ns",0.136904761904762,0.0218378494113417,173,6.26915037859263,2.8032216361949e-09
"cond_typeactive_s",0.078125,0.0218378494113417,173,3.57750429213166,0.000450098125990557
"cond_typeactive_ns",0.139030612244898,0.0218378494113417,173,6.36649743416083,1.68070435708013e-09
"groupsA_control",0.102416142813952,0.0249154012078227,45,4.1105556342314,0.000165080015820683
"groupsA_second",0.0236651737483937,0.0230267959961891,173,1.02772325565008,0.305514803579347
