"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",4.37752292176252,0.177069583214915,173,24.7220490514702,1.14749693232188e-58
"cond_typeactive_ns",0.424666066609807,0.0828666414454584,173,5.12469262905165,7.9061328270566e-07
"cond_typepassive_ns",0.703914467068451,0.0828666414454582,173,8.494545631269,8.83323860000617e-15
"cond_typepassive_s",0.371577728362247,0.0828666414454582,173,4.48404474805238,1.32988972546549e-05
"groupsA_control",-1.12900411322537,0.228223372478242,45,-4.94692590406361,1.09750084619587e-05
"groupsA_second",-0.233066743719141,0.100414799292298,173,-2.32103978060749,0.0214509665296573
