"","numDF","denDF","F-value","p-value"
"(Intercept)",1,166,1328.71428548309,0
"cond_type",3,166,24.6344077652485,3.08975067753181e-13
"groups",2,166,12.7471865504309,7.07981462566565e-06
"cond_type:groups",6,166,1.06930745711947,0.383015086219398
