"subind","runnum","group","N","rt_median","acc_avg"
"2_008_second","3","A_second",32,4.18100142479,0.875
"2_010_second","1","A_second",32,4.31182909012,0.90625
"2_010_second","2","A_second",32,4.11387848854,0.875
"2_010_second","3","A_second",32,5.14688098431,0.75
"2_031_second","1","A_second",32,3.8782749176,0.96875
"2_031_second","2","A_second",32,3.76381444931,0.875
"2_034_second","1","A_second",32,4.82377254963,0.75
"2_034_second","2","A_second",32,5.883667945865,0.6875
"2_048_second","1","A_second",32,5.41250395775,0.96875
"2_048_second","3","A_second",32,4.95258903503,0.84375
"0_013_third","1","A_third",32,4.03876948357,0.9375
"0_013_third","2","A_third",32,3.92423796654,0.78125
"0_013_third","3","A_third",32,4.37339687347,0.90625
"0_026_third","1","A_third",32,5.918989419935,0.9375
"0_026_third","2","A_third",32,5.28873848915,0.6875
"0_068_third","2","A_third",32,2.8835464716,0.875
"0_068_third","3","A_third",32,2.7270181179,0.96875
"1_001_third","1","A_third",32,3.75138092041,0.90625
"1_001_third","2","A_third",32,4.00718903542,0.96875
"1_001_third","3","A_third",32,3.86100256443,0.9375
"1_004_third","1","A_third",32,5.94393086433,0.84375
"1_004_third","2","A_third",32,5.606853485105,0.6875
"1_004_third","3","A_third",32,5.4673500061,0.96875
"1_007_third","1","A_third",32,4.42420816422,0.90625
"1_007_third","2","A_third",32,4.42871713638,0.84375
"1_007_third","3","A_third",32,3.898092508315,0.9375
"1_036_third","1","A_third",32,4.24845695496,0.84375
"1_036_third","2","A_third",32,4.51955604553,0.84375
"1_036_third","3","A_third",32,4.57027387619,0.78125
"2_003_third","1","A_third",32,4.44805598259,0.84375
"2_005_third","1","A_third",32,4.5643119812,0.9375
"2_005_third","2","A_third",32,3.92222118378,0.90625
"2_005_third","3","A_third",32,4.08224487305,0.90625
"2_008_third","1","A_third",32,4.11734199524,0.90625
"2_008_third","2","A_third",32,2.99531006813,0.96875
"2_008_third","3","A_third",32,3.082792401315,0.9375
"2_010_third","1","A_third",32,4.40569400787,0.84375
"2_010_third","2","A_third",32,4.12911808491,0.8125
"2_010_third","3","A_third",32,4.283717513085,0.8125
"2_034_third","1","A_third",32,4.5521709919,0.875
"2_034_third","2","A_third",32,4.746817588805,0.8125
"2_034_third","3","A_third",32,4.294062495235,1
"ldrc2_0_104","1","A2_first",32,4.07082509995,0.84375
"ldrc2_0_104","2","A2_first",32,4.18106913567,0.96875
"ldrc2_0_104","3","A2_first",32,3.82732105255,0.9375
"ldrc2_0_122","2","A2_first",32,4.18639492989,0.78125
"ldrc2_0_122","3","A2_first",32,4.43239402771,0.90625
"ldrc2_0_123","1","A2_first",32,4.29564154148,0.875
"ldrc2_0_123","3","A2_first",32,3.02671897411,0.9375
"ldrc2_0_124","1","A2_first",32,3.292988419535,0.8125
"ldrc2_0_124","2","A2_first",32,2.94875907898,0.96875
"ldrc2_0_137","1","A2_first",32,4.53723502159,0.875
"ldrc2_0_137","2","A2_first",32,4.57901978493,0.84375
"ldrc2_0_137","3","A2_first",32,4.36687421799,0.78125
"ldrc2_0_140","1","A2_first",32,4.88218998909,0.90625
"ldrc2_0_140","2","A2_first",32,5.709171414375,0.75
"ldrc2_0_140","3","A2_first",32,5.47545993328,0.875
"ldrc2_0_143","1","A2_first",32,4.34486699104,0.84375
"ldrc2_0_143","2","A2_first",32,3.986207008365,0.9375
"ldrc2_0_143","3","A2_first",32,5.00986099243,0.84375
"ldrc2_0_145","1","A2_first",32,3.43590414524,0.9375
"ldrc2_0_145","2","A2_first",32,4.73246002197,0.96875
"ldrc2_0_145","3","A2_first",32,3.7948679924,1
"ldrc2_0_151","1","A2_first",32,4.994810938835,0.9375
"ldrc2_0_151","2","A2_first",32,4.65283107758,0.78125
"ldrc2_0_151","3","A2_first",32,4.71698200703,0.8125
"ldrc2_0_172","1","A2_first",32,4.65354609489,0.90625
"ldrc2_0_172","2","A2_first",32,4.70703291893,0.9375
"ldrc2_0_172","3","A2_first",32,4.283279538155,1
"ldrc2_1_129","1","A2_first",32,3.141140937805,0.875
"ldrc2_1_133","1","A2_first",32,4.40701007843,0.78125
"ldrc2_1_133","2","A2_first",32,3.89484596252,0.84375
"ldrc2_1_133","3","A2_first",32,4.014931082725,0.875
"ldrc2_1_139","2","A2_first",32,6.19374585152,0.84375
"ldrc2_1_141","1","A2_first",32,5.80395507812,0.71875
"ldrc2_1_141","2","A2_first",32,3.96338701248,0.71875
"ldrc2_1_141","3","A2_first",32,4.49844408035,0.90625
"ldrc2_1_147","1","A2_first",32,5.825028538705,0.6875
"ldrc2_1_147","3","A2_first",32,5.649701952935,0.8125
"ldrc2_1_152","2","A2_first",32,4.34093689919,0.90625
"ldrc2_1_157","1","A2_first",32,2.95798647404,0.9375
"ldrc2_1_157","2","A2_first",32,2.82238602638,0.9375
"ldrc2_1_157","3","A2_first",32,3.2164888382,0.90625
"ldrc2_1_173","1","A2_first",32,3.15933299065,0.96875
"ldrc2_1_173","2","A2_first",32,3.41002357006,0.9375
"ldrc2_1_173","3","A2_first",32,3.17476797104,0.84375
"0_122_second","1","A2_second",32,3.58435893059,0.8125
"0_122_second","2","A2_second",32,3.36460900307,0.90625
"0_122_second","3","A2_second",32,3.170174479485,1
"0_123_second","1","A2_second",32,4.29564154148,0.875
"0_123_second","2","A2_second",32,3.59075307846,0.9375
"0_123_second","3","A2_second",32,3.02671897411,0.9375
"0_124_second","1","A2_second",32,2.54850816727,0.96875
"0_124_second","2","A2_second",32,2.39431500435,0.9375
"0_124_second","3","A2_second",32,2.23366785049,0.96875
"0_140_second","1","A2_second",32,4.69251418114,0.71875
"0_140_second","2","A2_second",32,3.95410048962,0.875
"0_143_second","1","A2_second",32,4.18943989277,0.8125
"0_143_second","2","A2_second",32,4.37433409691,0.78125
"0_143_second","3","A2_second",32,4.28992080688,0.84375
"0_151_second","1","A2_second",32,3.81272602081,0.90625
"0_151_second","2","A2_second",32,4.43070888519,0.90625
"0_151_second","3","A2_second",32,3.798093914985,1
"1_115_second","1","A2_second",32,3.69735646248,1
"1_133_second","1","A2_second",32,4.50641989708,0.90625
"1_133_second","2","A2_second",32,4.44095611572,0.90625
"1_133_second","3","A2_second",32,4.386659026145,0.875
"1_134_second","1","A2_second",32,4.70891809464,0.71875
"1_134_second","2","A2_second",32,3.81187319756,0.78125
"1_139_second","1","A2_second",32,6.07164621353,0.90625
"1_139_second","2","A2_second",32,6.069435954095,0.75
"1_139_second","3","A2_second",32,5.77291488647,0.84375
"1_147_second","1","A2_second",32,5.825028538705,0.6875
"1_147_second","2","A2_second",32,5.582752466205,0.5625
"1_147_second","3","A2_second",32,5.649701952935,0.8125
"1_173_second","1","A2_second",32,3.8672618866,0.96875
"1_173_second","2","A2_second",32,4.30093085766,0.8125
"1_173_second","3","A2_second",32,3.53499293327,0.90625
"1627_2","1","H_first",32,6.3867317656,0.625
"1627_2","2","H_first",32,5.40954582865,0.625
"1794_1","1","H_first",32,6.5975909127,0.65625
"1794_1_second","1","H_second",32,5.33895582139,0.6875
"1986_1_second","1","H_second",32,4.50962184323,0.71875
"1986_1_second","3","H_second",32,4.90672359485,0.75
"2436_2_second","1","H_second",32,3.87375840456,0.78125
"2436_2_second","2","H_second",32,3.997572816495,0.9375
"2436_2_second","3","H_second",32,3.42648731665,0.90625
"2569_2_second","1","H_second",32,5.27955650524,0.6875
"2569_2_second","2","H_second",32,6.43069060863,0.65625
"2569_2_second","3","H_second",32,4.554485206435,0.9375
"1496_2_third","1","H_third",32,3.76663902156,0.6875
"1496_2_third","2","H_third",32,3.929063633,0.78125
"1496_2_third","3","H_third",32,3.134787868925,0.875
"1589_2_third","1","H_third",32,4.315367312315,0.6875
"1589_2_third","2","H_third",32,3.55298949227,0.71875
"1690_2_third","1","H_third",32,3.658910952115,0.9375
"1690_2_third","2","H_third",32,3.49220951532,0.6875
"1690_2_third","3","H_third",32,3.21463996321,0.84375
"1697_1_third","1","H_third",32,3.76582369508,0.875
"1697_1_third","2","H_third",32,4.03958492039,0.84375
"1697_1_third","3","H_third",32,4.19262053477,0.84375
"2167_2_third","1","H_third",32,4.54531079482,0.65625
"2167_2_third","3","H_third",32,3.93029351637,0.78125
"2416_1_third","1","H_third",32,5.27131770081,0.84375
"2416_1_third","2","H_third",32,5.90522735588,0.78125
"2416_1_third","3","H_third",32,4.92356051931,0.84375
"2479_1_third","1","H_third",32,4.79001212213,0.90625
"2479_1_third","2","H_third",32,4.00838750362,0.96875
"2479_1_third","3","H_third",32,4.43481667449,0.71875
"2569_2_third","1","H_third",32,4.68995348668,0.90625
"2569_2_third","2","H_third",32,4.38352882467,0.875
"2569_2_third","3","H_third",32,3.83316725197,0.90625
"2798_1_third","2","H_third",32,5.51909130169,0.65625
"LDFHO10238_1","1","H2_first",32,4.71075531891,0.71875
"LDFHO10297_1","1","H2_first",32,4.0882080897,0.875
"LDFHO10297_1","2","H2_first",32,3.85386892732,0.84375
"LDFHO10328_1","1","H2_first",32,3.92344645258,0.84375
"LDFHO10328_1","2","H2_first",32,4.39017665474,0.71875
"LDFHO10328_1","3","H2_first",32,3.9931121433,0.71875
"LDFHO10493_1","1","H2_first",32,3.67346154196,0.90625
"LDFHO10493_1","2","H2_first",32,3.116452193205,0.9375
"/LDFHO1794_1","1","H2_first",32,4.694954103065,0.75
"/LDFHO1794_1","2","H2_first",32,5.30774020818,0.65625
"/LDFHO5782_1","1","H2_first",32,4.49434223632,0.71875
"/LDFHO5782_1","2","H2_first",32,3.5302821434,0.84375
"/LDFHO5782_1","3","H2_first",32,3.677057836455,0.6875
"/LDFHO9087_1","2","H2_first",32,3.05441940609,0.90625
"/LDFHO9087_1","3","H2_first",32,2.53715906132,0.9375
"c_032","1","A_control",32,4.10101819038,0.96875
"c_032","2","A_control",32,3.87061595917,0.84375
"c_032","3","A_control",32,4.13548541069,0.6875
"c_037","1","A_control",32,3.13305187225,0.90625
"c_037","2","A_control",32,3.29688692093,1
"c_039","1","A_control",32,4.731463551525,0.8125
"c_039","2","A_control",32,3.25424647331,0.8125
"c_039","3","A_control",32,3.41061937809,0.9375
"c_043","1","A_control",32,5.16156005859,0.65625
"c_043","2","A_control",32,4.9896800518,0.78125
"c_043","3","A_control",32,4.893880486485,0.875
"c_044","1","A_control",32,4.35162806511,0.875
"c_044","2","A_control",32,4.16980409622,0.90625
"c_045","1","A_control",32,3.34030890465,0.96875
"c_045","2","A_control",32,2.96344292164,1
"c_046","1","A_control",32,3.91679215431,0.96875
"c_046","3","A_control",32,3.35767841339,1
"c_047","1","A_control",32,3.19257497787,0.84375
"c_047","2","A_control",32,3.771676421165,0.9375
"c_058","1","A_control",32,1.76995897293,0.96875
"c_058","3","A_control",32,1.68040013313,0.96875
"c_059","1","A_control",32,2.77857589722,0.96875
"c_059","2","A_control",32,2.61323904991,0.96875
"c_059","3","A_control",32,2.490272521975,1
"c_061","1","A_control",32,4.01424789429,0.84375
"c_061","2","A_control",32,3.98539614677,0.71875
"c_061","3","A_control",32,4.20804309845,0.90625
"c_062","1","A_control",32,3.77156209946,0.90625
"c_062","2","A_control",32,3.79033946991,0.8125
"c_078","1","A_control",32,2.63778400421,0.96875
"c_078","2","A_control",32,3.1381289959,0.84375
"c_079","1","A_control",32,5.55785083771,0.90625
"c_079","2","A_control",32,4.34037089348,0.90625
"c_079","3","A_control",32,3.569398522375,0.9375
"c_081","1","A_control",32,4.294342041015,0.9375
"c_081","2","A_control",32,3.22144448757,0.9375
"c_081","3","A_control",32,2.93816101551,0.8125
"c_082","1","A_control",32,3.14901101589,0.875
"c_082","2","A_control",32,2.76643097401,0.875
"c_082","3","A_control",32,2.683660030365,0.9375
"c_084","1","A_control",32,3.460703969,1
"c_084","2","A_control",32,3.598004102705,1
"c_084","3","A_control",32,3.17832803726,0.96875
"c_085","2","A_control",32,3.43426895142,0.84375
"c_085","3","A_control",32,3.2196290493,0.9375
"c_086","1","A_control",32,3.7354118824,0.90625
"c_086","2","A_control",32,3.26997959614,0.875
"c_086","3","A_control",32,3.16921901703,0.9375
"c_101","1","A_control",32,2.71189379692,1
"c_101","2","A_control",32,3.22143793106,0.84375
"c_101","3","A_control",32,2.626346468925,1
"c_103","1","A_control",32,4.47061896324,0.78125
"c_103","2","A_control",32,4.314427018165,0.6875
"8957","1","H_control_first",32,5.625324336405,0.625
"8957","2","H_control_first",32,5.46168158275,0.6875
"8957","3","H_control_first",32,5.00859049435,0.65625
"8960","1","H_control_first",32,4.61325076416,0.84375
"8960","2","H_control_first",32,5.51485486517,0.71875
"8960","3","H_control_first",32,5.670440572635,0.875
"8961","1","H_control_first",32,3.33132916194,0.90625
"8961","2","H_control_first",32,2.96690134056,0.96875
"8961","3","H_control_first",32,2.889681013145,0.9375
"8963","1","H_control_first",32,3.51738592223,0.9375
"8963","2","H_control_first",32,3.53556167365,0.9375
"8963","3","H_control_first",32,3.57799889132,0.96875
"8972","1","H_control_first",32,3.457022566695,0.875
"8972","2","H_control_first",32,4.14970852243,0.90625
"8972","3","H_control_first",32,3.355619033245,0.875
"8960_c_second","1","H_control_second",32,4.05073930281,0.84375
"8960_c_second","2","H_control_second",32,3.765286471445,0.75
"8960_c_second","3","H_control_second",32,3.7954251811,0.84375
"8961_c_second","1","H_control_second",32,2.679146690225,0.875
"8961_c_second","2","H_control_second",32,2.65358599991,0.9375
