"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"2_008","2",1,"passive_ns",8,3.57942795753,0.875,"A_first"
"2_008","2",1,"passive_s",8,4.692299485205,1,"A_first"
"2_008","3",1,"active_ns",8,3.465938448905,0.75,"A_first"
"2_008","3",1,"active_s",8,4.27630496025,0.875,"A_first"
"2_008","3",1,"passive_ns",8,4.13178491592,0.875,"A_first"
"2_008","3",1,"passive_s",8,4.81734585762,0.625,"A_first"
"2_010","1",1,"active_ns",8,5.78900051117,1,"A_first"
"2_010","1",1,"active_s",8,3.893161058425,1,"A_first"
"2_010","1",1,"passive_ns",8,5.68907904625,0.875,"A_first"
"2_010","1",1,"passive_s",8,4.907167434695,0.75,"A_first"
"2_010","2",1,"active_ns",8,5.23891055584,0.75,"A_first"
"2_010","2",1,"active_s",8,3.418254971505,1,"A_first"
"2_010","2",1,"passive_ns",8,5.80142259598,0.5,"A_first"
"2_010","2",1,"passive_s",8,5.00096845627,0.75,"A_first"
"2_010","3",1,"active_ns",8,4.437741518025,1,"A_first"
"2_010","3",1,"active_s",8,4.251180052755,0.75,"A_first"
"2_010","3",1,"passive_ns",8,4.82742094994,0.875,"A_first"
"2_010","3",1,"passive_s",8,4.178570508955,0.75,"A_first"
"2_011","1",1,"active_ns",8,5.88326621056,0.625,"A_first"
"2_011","1",1,"active_s",8,4.57988500595,0.875,"A_first"
"2_011","1",1,"passive_ns",8,4.81909942627,0.5,"A_first"
"2_011","1",1,"passive_s",8,4.615577459335,1,"A_first"
"2_011","2",1,"active_ns",8,3.61655783653,0.625,"A_first"
"2_011","2",1,"active_s",8,3.78209841251,0.75,"A_first"
"2_011","2",1,"passive_ns",8,5.10479617119,0.625,"A_first"
"2_011","2",1,"passive_s",8,4.496778965,0.625,"A_first"
"2_027","1",1,"active_ns",8,4.123659014705,1,"A_first"
"2_027","1",1,"active_s",8,4.28426504135,0.875,"A_first"
"2_027","1",1,"passive_ns",8,3.82362008095,0.875,"A_first"
"2_027","1",1,"passive_s",8,3.69526910782,0.625,"A_first"
"2_027","2",1,"active_ns",8,3.80237138271,1,"A_first"
"2_027","2",1,"active_s",8,3.58353805542,0.75,"A_first"
"2_027","2",1,"passive_ns",8,4.264606952665,1,"A_first"
"2_027","2",1,"passive_s",8,3.85158801079,0.875,"A_first"
"2_027","3",1,"active_ns",8,3.19983506203,0.875,"A_first"
"2_027","3",1,"active_s",8,3.13663697243,0.625,"A_first"
"2_027","3",1,"passive_ns",8,3.81754052639,1,"A_first"
"2_027","3",1,"passive_s",8,3.06365597248,0.5,"A_first"
"2_031","1",1,"active_ns",8,3.2592099905,1,"A_first"
"2_031","1",1,"active_s",8,3.56739616394,0.875,"A_first"
"2_031","1",1,"passive_ns",8,3.74428451061,1,"A_first"
"2_031","1",1,"passive_s",8,3.09438204765,0.625,"A_first"
"2_031","2",1,"active_ns",8,3.62387704849,1,"A_first"
"2_031","2",1,"active_s",8,3.57607197762,0.625,"A_first"
"2_031","2",1,"passive_ns",8,3.07171356678,1,"A_first"
"2_031","2",1,"passive_s",8,3.17292010784,0.75,"A_first"
"2_031","3",1,"active_ns",8,2.61614394188,1,"A_first"
"2_031","3",1,"active_s",8,3.19773006439,0.875,"A_first"
"2_031","3",1,"passive_ns",8,3.248718619345,1,"A_first"
"2_031","3",1,"passive_s",8,3.503231048585,0.75,"A_first"
"0_013_second","3",1,"active_ns",7,4.021931648255,0.857142857142857,"A_second"
"0_013_second","3",1,"active_s",8,4.056461453435,0.75,"A_second"
"0_013_second","3",1,"passive_ns",8,4.70250892639,0.875,"A_second"
"0_013_second","3",1,"passive_s",8,3.60571694374,0.875,"A_second"
"0_026_second","1",1,"active_ns",8,4.78851211071,0.5,"A_second"
"0_026_second","1",1,"active_s",8,3.82168793678,0.625,"A_second"
"0_026_second","1",1,"passive_ns",8,5.0253610611,0.875,"A_second"
"0_026_second","1",1,"passive_s",8,4.9526309967,0.625,"A_second"
"0_049_second","1",1,"active_ns",8,4.468649506565,1,"A_second"
"0_049_second","1",1,"active_s",8,3.39303994179,1,"A_second"
"0_049_second","1",1,"passive_ns",8,4.60084104538,0.875,"A_second"
"0_049_second","1",1,"passive_s",8,3.689871549605,0.75,"A_second"
"0_049_second","2",1,"active_ns",8,3.861710071565,1,"A_second"
"0_049_second","2",1,"active_s",8,3.29443645477,1,"A_second"
"0_049_second","2",1,"passive_ns",8,4.18083810806,0.875,"A_second"
"0_049_second","2",1,"passive_s",8,3.892584443095,0.75,"A_second"
"0_049_second","3",1,"active_ns",8,3.89367389679,0.875,"A_second"
"0_049_second","3",1,"active_s",8,3.48581218719,0.875,"A_second"
"0_049_second","3",1,"passive_ns",8,4.0438195467,1,"A_second"
"0_049_second","3",1,"passive_s",8,3.38346362114,0.5,"A_second"
"0_055_second","1",1,"active_ns",8,5.17587351799,1,"A_second"
"0_055_second","1",1,"active_s",8,4.288531541825,0.5,"A_second"
"0_055_second","1",1,"passive_ns",8,4.996173024175,1,"A_second"
"0_055_second","1",1,"passive_s",8,5.86156105995,0.625,"A_second"
"0_055_second","2",1,"active_ns",8,4.287162065505,1,"A_second"
"0_055_second","2",1,"active_s",8,3.84023118019,0.375,"A_second"
"0_055_second","2",1,"passive_ns",8,4.755086183545,1,"A_second"
"0_055_second","2",1,"passive_s",8,5.74025452137,0.5,"A_second"
"0_055_second","3",1,"active_ns",8,5.240462899205,1,"A_second"
"0_055_second","3",1,"active_s",8,5.10687303543,0.375,"A_second"
"0_055_second","3",1,"passive_ns",8,4.47275900841,1,"A_second"
"0_055_second","3",1,"passive_s",8,6.24581813812,0.375,"A_second"
"1_001_second","1",1,"active_ns",8,4.350394010545,1,"A_second"
"1_001_second","1",1,"active_s",8,4.26786184311,0.875,"A_second"
"1_001_second","1",1,"passive_ns",8,4.81098461151,1,"A_second"
"1_001_second","1",1,"passive_s",8,4.65741300583,0.75,"A_second"
"1_001_second","2",1,"active_ns",8,4.040380477905,1,"A_second"
"1_001_second","2",1,"active_s",8,4.306191444395,0.75,"A_second"
"1_001_second","2",1,"passive_ns",8,4.934510588645,1,"A_second"
"1_001_second","2",1,"passive_s",8,3.8109459877,0.625,"A_second"
"1_004_second","1",1,"active_ns",8,5.644944548605,1,"A_second"
"1_004_second","1",1,"active_s",8,6.54639983177,0.875,"A_second"
"1_004_second","1",1,"passive_ns",8,5.49692106247,0.875,"A_second"
"1_004_second","1",1,"passive_s",8,5.999609470365,0.75,"A_second"
"1_004_second","2",1,"active_ns",8,4.28438186646,0.875,"A_second"
"1_004_second","2",1,"active_s",8,5.17702507973,0.875,"A_second"
"1_004_second","2",1,"passive_ns",8,6.34195756912,1,"A_second"
"1_004_second","2",1,"passive_s",8,6.09343600273,0.875,"A_second"
"1_015_second","1",1,"active_ns",8,7.22142696381,0.875,"A_second"
"1_015_second","1",1,"active_s",8,5.38826417923,0.625,"A_second"
"1_015_second","1",1,"passive_ns",8,6.62760257721,0.75,"A_second"
"1_015_second","1",1,"passive_s",8,6.044491052625,0.5,"A_second"
"1_015_second","2",1,"active_ns",8,7.20906198025,1,"A_second"
"1_015_second","2",1,"active_s",8,6.09238255024,0.75,"A_second"
"1_015_second","2",1,"passive_ns",8,7.23545312881,0.875,"A_second"
"1_015_second","2",1,"passive_s",8,6.78013086319,0.625,"A_second"
"1_015_second","3",1,"active_ns",8,5.54074192047,0.875,"A_second"
"1_015_second","3",1,"active_s",8,5.346733927725,0.5,"A_second"
"1_015_second","3",1,"passive_ns",8,6.024320483205,1,"A_second"
"1_015_second","3",1,"passive_s",8,6.175995111465,0.5,"A_second"
"1_020_second","1",1,"active_ns",8,4.6742875576,1,"A_second"
"1_020_second","1",1,"active_s",8,4.97509288788,0.875,"A_second"
