"subind","runnum","TrialNum","Sentence","N","order"
"2_008","1",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"2_008","2",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"2_008","3",0,"The key opened the carrot.",1,"SC_L1_O2"
"2_008_second","1",0,"The child peeled the banana.",1,"SC_L6_O3"
"2_008_second","2",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"2_008_second","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"2_008_third","1",0,"The key opened the carrot.",1,"SC_L1_O2"
"2_008_third","2",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"2_008_third","3",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"2_010","1",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"2_010","2",0,"A bird dropped the worm.",1,"SC_L3_O3"
"2_010","3",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"2_010_second","1",0,"A hand was built by the ant.",1,"SC_L2_O1"
"2_010_second","2",0,"A bird dropped the worm.",2,"SC_L3_O3"
"2_010_second","3",0,"The key opened the carrot.",1,"SC_L1_O2"
"2_011","1",0,"The money counted the singer.",1,"SC_L6_O2"
"2_011","2",0,"A woman bought a pizza.",1,"SC_L4_O3"
"2_027","1",0,"The friend borrowed a book.",2,"SC_L5_O3"
"2_027","2",0,"A plate stained a kitten.",1,"SC_L4_O2"
"2_027","3",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"2_031","1",0,"The money counted the singer.",1,"SC_L6_O2"
"2_031","2",0,"The friend borrowed a book.",1,"SC_L5_O3"
"2_031","3",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"2_031_second","1",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"2_031_second","2",0,"The friend borrowed a book.",2,"SC_L5_O3"
"2_034_second","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"2_034_second","2",0,"A woman bought a pizza.",1,"SC_L4_O3"
"2_034_third","1",0,"A hand was built by the ant.",1,"SC_L2_O1"
"2_034_third","2",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"2_034_third","3",0,"A fence walked to the mother.",1,"SC_L3_O2"
"2_048_second","1",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"2_048_second","2",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"2_048_second","3",0,"A fence walked to the mother.",1,"SC_L3_O2"
"2436_c_second","1",0,"The money counted the singer.",1,"SC_L6_O2"
"2436_c_second","2",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"2436_c_second","3",0,"The friend borrowed a book.",1,"SC_L5_O3"
"2569_2_second","1",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"2569_2_second","2",0,"A fence walked to the mother.",1,"SC_L3_O2"
"2569_2_second","3",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"3795","1",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"3795","2",0,"A fence walked to the mother.",2,"SC_L3_O2"
"3795","3",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"3795_c_second","2",0,"The money counted the singer.",5,"SC_L6_O2"
"3824","1",0,"A bird dropped the worm.",1,"SC_L3_O3"
"3824","2",0,"The key opened the carrot.",1,"SC_L1_O2"
"3824","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"3824_c_second","1",0,"The child peeled the banana.",1,"SC_L6_O3"
"3824_c_second","2",0,"A plate stained a kitten.",1,"SC_L4_O2"
"3824_c_second","3",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"6321","1",0,"The child peeled the banana.",1,"SC_L6_O3"
"6321","2",0,"A worm was jumped by a dress.",2,"SC_L5_O1"
"6321","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"6741","1",0,"The money counted the singer.",1,"SC_L6_O2"
"6741","2",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"6741","3",0,"The friend borrowed a book.",1,"SC_L5_O3"
"6741_c_second","1",0,"A fence walked to the mother.",1,"SC_L3_O2"
"6741_c_second","2",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"6741_c_second","3",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"8957","1",0,"The house chewed on the phone.",1,"SC_L5_O2"
"8957","2",0,"A test was cooked by a bat.",1,"SC_L4_O1"
