"groups","N","gr_rt_mean","gr_rt_se","gr_acc_mean","gr_acc_se"
"A_control",21,3.51937218034048,0.160361887286344,0.898793522785458,0.0152203915972003
"A_first",15,4.59141649670111,0.211405351428255,0.801601702508961,0.0208349002564147
"A_first2",22,4.33147493095152,0.181062604356923,0.874213404203324,0.0118794002070988
"H_first2",6,3.98514519412583,0.334192117770357,0.794494847670251,0.0412855767850134
