"","numDF","denDF","F-value","p-value"
"(Intercept)",1,166,5854.61754337334,0
"cond_type",3,166,20.4544762615326,2.49767984072946e-11
"groups",2,166,8.97840853095192,0.000198405051612172
"cond_type:groups",6,166,4.77016522767946,0.000163547906607886
