"subind","runnum","cond_type","group","N","rt_median","acc_avg"
"ldrc_1_020","1","passive_s","A_first",8,4.59358119965,0.875
"ldrc_1_020","3","active_ns","A_first",8,6.55170702934,0.625
"ldrc_1_020","3","active_s","A_first",8,4.7603700161,0.625
"ldrc_1_020","3","passive_ns","A_first",8,6.13042211533,0.875
"ldrc_1_020","3","passive_s","A_first",8,5.1278488636,0.875
"ldrc_1_028","1","active_ns","A_first",8,4.193158984185,1
"ldrc_1_028","1","active_s","A_first",8,5.650389552115,0.75
"ldrc_1_028","1","passive_ns","A_first",8,4.76607608795,0.875
"ldrc_1_028","1","passive_s","A_first",8,5.33831000328,0.5
"ldrc_1_028","2","active_ns","A_first",8,4.059482455255,1
"ldrc_1_028","2","active_s","A_first",8,3.837882995605,1
"ldrc_1_028","2","passive_ns","A_first",8,4.686473011975,0.75
"ldrc_1_028","2","passive_s","A_first",8,4.823316931725,0.75
"ldrc_2_008","1","active_ns","A_first",8,4.04512500763,1
"ldrc_2_008","1","active_s","A_first",8,3.802435159685,1
"ldrc_2_008","1","passive_ns","A_first",8,5.02844703197,1
"ldrc_2_008","1","passive_s","A_first",8,4.48740041256,1
"ldrc_2_008","2","active_ns","A_first",8,4.72149705887,0.875
"ldrc_2_008","2","active_s","A_first",8,3.594281077385,1
"ldrc_2_008","2","passive_ns","A_first",8,3.57942795753,0.875
"ldrc_2_008","2","passive_s","A_first",8,4.692299485205,1
"ldrc_2_008","3","active_ns","A_first",8,3.465938448905,0.75
"ldrc_2_008","3","active_s","A_first",8,4.27630496025,0.875
"ldrc_2_008","3","passive_ns","A_first",8,4.13178491592,0.875
"ldrc_2_008","3","passive_s","A_first",8,4.81734585762,0.625
"ldrc_2_010","1","active_ns","A_first",8,5.78900051117,1
"ldrc_2_010","1","active_s","A_first",8,3.893161058425,1
"ldrc_2_010","1","passive_ns","A_first",8,5.68907904625,0.875
"ldrc_2_010","1","passive_s","A_first",8,4.907167434695,0.75
"ldrc_2_010","2","active_ns","A_first",8,5.23891055584,0.75
"ldrc_2_010","2","active_s","A_first",8,3.418254971505,1
"ldrc_2_010","2","passive_ns","A_first",8,5.80142259598,0.5
"ldrc_2_010","2","passive_s","A_first",8,5.00096845627,0.75
"ldrc_2_010","3","active_ns","A_first",8,4.437741518025,1
"ldrc_2_010","3","active_s","A_first",8,4.251180052755,0.75
"ldrc_2_010","3","passive_ns","A_first",8,4.82742094994,0.875
"ldrc_2_010","3","passive_s","A_first",8,4.178570508955,0.75
"ldrc_2_011","1","active_ns","A_first",8,5.88326621056,0.625
"ldrc_2_011","1","active_s","A_first",8,4.57988500595,0.875
"ldrc_2_011","1","passive_ns","A_first",8,4.81909942627,0.5
"ldrc_2_011","1","passive_s","A_first",8,4.615577459335,1
"ldrc_2_011","2","active_ns","A_first",8,3.61655783653,0.625
"ldrc_2_011","2","active_s","A_first",8,3.78209841251,0.75
"ldrc_2_011","2","passive_ns","A_first",8,5.10479617119,0.625
"ldrc_2_011","2","passive_s","A_first",8,4.496778965,0.625
"ldrc_2_027","1","active_ns","A_first",8,4.123659014705,1
"ldrc_2_027","1","active_s","A_first",8,4.28426504135,0.875
"ldrc_2_027","1","passive_ns","A_first",8,3.82362008095,0.875
"ldrc_2_027","1","passive_s","A_first",8,3.69526910782,0.625
"ldrc_2_027","2","active_ns","A_first",8,3.80237138271,1
"ldrc_2_027","2","active_s","A_first",8,3.58353805542,0.75
"ldrc_2_027","2","passive_ns","A_first",8,4.264606952665,1
"ldrc_2_027","2","passive_s","A_first",8,3.85158801079,0.875
"ldrc_2_027","3","active_ns","A_first",8,3.19983506203,0.875
