"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"0_026","A_second","1",1,"active_s",8,3.82168793678,0.625,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_secondsense","0"
"0_026","A_second","1",1,"passive_ns",8,5.0253610611,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_026","A_second","1",1,"passive_s",8,4.9526309967,0.625,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_secondsense","0"
"0_026","A_third","1",1,"active_ns",8,6.18214404583,1,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","0"
"0_026","A_third","1",1,"active_s",8,4.89237654209,1,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_thirdsense","0"
"0_026","A_third","1",1,"passive_ns",8,6.59342885017,0.875,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","0"
"0_026","A_third","1",1,"passive_s",8,4.96630311012,0.875,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_thirdsense","0"
"0_026","A_third","2",1,"active_ns",8,5.13277196884,0.625,"austin","nonsense","active","0","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","0"
"0_026","A_third","2",1,"active_s",8,5.13049316406,0.875,"austin","sense","active","0","i","r","austinsense","austinactive","isense","A_thirdsense","0"
"0_026","A_third","2",1,"passive_ns",8,5.03860187531,0.625,"austin","nonsense","passive","0","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","0"
"0_026","A_third","2",1,"passive_s",8,5.64023804665,0.625,"austin","sense","passive","0","i","r","austinsense","austinpassive","isense","A_thirdsense","0"
"0_049","A_second","1",1,"active_ns",8,4.468649506565,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_049","A_second","1",1,"active_s",8,3.39303994179,1,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_049","A_second","1",1,"passive_ns",8,4.60084104538,0.875,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_049","A_second","1",1,"passive_s",8,3.689871549605,0.75,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"0_049","A_second","2",1,"active_ns",8,3.861710071565,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_049","A_second","2",1,"active_s",8,3.29443645477,1,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_049","A_second","2",1,"passive_ns",8,4.18083810806,0.875,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_049","A_second","2",1,"passive_s",8,3.892584443095,0.75,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"0_049","A_second","3",1,"active_ns",8,3.89367389679,0.875,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_049","A_second","3",1,"active_s",8,3.48581218719,0.875,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_049","A_second","3",1,"passive_ns",8,4.0438195467,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_049","A_second","3",1,"passive_s",8,3.38346362114,0.5,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"0_055","A_second","1",1,"active_ns",8,5.17587351799,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_055","A_second","1",1,"active_s",8,4.288531541825,0.5,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_055","A_second","1",1,"passive_ns",8,4.996173024175,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_055","A_second","1",1,"passive_s",8,5.86156105995,0.625,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"0_055","A_second","2",1,"active_ns",8,4.287162065505,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_055","A_second","2",1,"active_s",8,3.84023118019,0.375,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_055","A_second","2",1,"passive_ns",8,4.755086183545,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_055","A_second","2",1,"passive_s",8,5.74025452137,0.5,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"0_055","A_second","3",1,"active_ns",8,5.240462899205,1,"austin","nonsense","active","0","i","u","austinnonsense","austinactive","inonsense","A_secondnonsense","0"
"0_055","A_second","3",1,"active_s",8,5.10687303543,0.375,"austin","sense","active","0","i","u","austinsense","austinactive","isense","A_secondsense","0"
"0_055","A_second","3",1,"passive_ns",8,4.47275900841,1,"austin","nonsense","passive","0","i","u","austinnonsense","austinpassive","inonsense","A_secondnonsense","0"
"0_055","A_second","3",1,"passive_s",8,6.24581813812,0.375,"austin","sense","passive","0","i","u","austinsense","austinpassive","isense","A_secondsense","0"
"1_001","A_first","1",1,"active_ns",8,4.68985581398,0.75,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_001","A_first","1",1,"active_s",8,4.782334446905,0.75,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_001","A_first","1",1,"passive_ns",8,5.64065897465,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_001","A_first","1",1,"passive_s",8,5.68287420273,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_001","A_first","2",1,"active_ns",8,5.14841747284,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
