"subind","N","rt_mean","rt_se","acc_mean","acc_se","groups","city","ID","ID2","rep"
"ldrc2_0_172",3,4.54795285065833,0.133234357243276,0.947916666666667,0.0275599094902562,"A_first2","austin","l","l","u"
"ldrc2_0_175",2,3.85121822357,0.22806429863,0.921875,0.078125,"A_first2","austin","l","l","u"
"ldrc2_1_129",1,3.141140937805,NA,0.875,NA,"A_first2","austin","l","l","u"
"ldrc2_1_133",3,4.10559570789167,0.154642680717978,0.833333333333333,0.0275599094902562,"A_first2","austin","l","l","u"
"ldrc2_1_134",1,4.57700610161,NA,0.875,NA,"A_first2","austin","l","l","u"
"ldrc2_1_139",1,6.19374585152,NA,0.84375,NA,"A_first2","austin","l","l","u"
"ldrc2_1_141",3,4.75526205698333,0.546622754101636,0.78125,0.0625,"A_first2","austin","l","l","u"
"ldrc2_1_143",3,4.44697833061167,0.299881595536681,0.875,0.03125,"A_first2","austin","l","l","u"
"ldrc2_1_147",2,5.73736524582,0.0876632928849999,0.75,0.0625,"A_first2","austin","l","l","u"
"ldrc2_1_152",1,4.34093689919,NA,0.90625,NA,"A_first2","austin","l","l","u"
"ldrc2_1_157",3,2.99895377954,0.115596996300445,0.927083333333333,0.0104166666666667,"A_first2","austin","l","l","u"
"ldrc2_1_173",3,3.24804151058333,0.0811135014432178,0.916666666666667,0.0375578257860832,"A_first2","austin","l","l","u"
"1627_2",2,5.90315318519,0.49360735654,0.618951612903226,0.00604838709677419,"H_first","houston","2","1","u"
"1794_1",1,6.5975909127,NA,0.65625,NA,"H_first","houston","1","1","r"
"1794_1",1,5.40758810672,NA,0.67741935483871,NA,"H_second","houston","1","1","r"
"1986_1",2,4.70817271904,0.19855087581,0.734375,0.015625,"H_second","houston","1","1","u"
"2436_2",3,3.76593951256833,0.173448692832623,0.875,0.0477351634891233,"H_second","houston","2","1","u"
"2569_2",3,5.42157744010167,0.546249069338845,0.760416666666667,0.0890000390137243,"H_second","houston","2","1","r"
"1496_2",3,3.61321177915833,0.243269913531447,0.777889784946237,0.0570613591364407,"H_third","houston","2","1","u"
"1589_2",2,3.9341784022925,0.3811889100225,0.703125,0.015625,"H_third","houston","2","1","u"
"1690_2",3,3.45525347688167,0.129574289474479,0.822916666666667,0.0729166666666667,"H_third","houston","2","1","u"
"1697_1",3,3.99934305008,0.124837817035915,0.854166666666667,0.0104166666666667,"H_third","houston","1","1","u"
"2167_2",2,4.237802155595,0.307508639225,0.71875,0.0625,"H_third","houston","2","1","u"
"2416_1",3,5.36670185866667,0.287367968339582,0.822916666666667,0.0208333333333333,"H_third","houston","1","1","u"
"2479_1",3,4.41107210008,0.225947718639851,0.864583333333333,0.0751156515721664,"H_third","houston","1","1","u"
"2569_2",3,4.30221652110667,0.250652103542085,0.895833333333333,0.0104166666666667,"H_third","houston","2","1","r"
"2798_1",1,5.51909130169,NA,0.65625,NA,"H_third","houston","1","1","u"
"LDFHO10238_1",1,4.71597208558,NA,0.709677419354839,NA,"H2_first","austin","L","L","u"
"LDFHO10328_1",3,4.10224508354,0.1453636467463,0.760416666666667,0.0416666666666667,"H2_first","austin","L","L","u"
"LDFHO10493_1",2,3.3949568675825,0.2785046743775,0.921875,0.015625,"H2_first","austin","L","L","u"
"/LDFHO1794_1",2,5.0013471556225,0.3063930525575,0.703125,0.046875,"H2_first","austin","/","/","u"
"/LDFHO5782_1",3,3.900560738725,0.299898941969104,0.75,0.0477351634891233,"H2_first","austin","/","/","u"
"/LDFHO9087_1",2,2.795789233705,0.258630172385,0.921875,0.015625,"H2_first","austin","/","/","u"
"c_032",3,4.03859484195667,0.0843190723449436,0.832997311827957,0.0810773310449771,"A_control","austin","c","c","u"
"c_037",2,3.21496939659,0.0819175243400001,0.953125,0.046875,"A_control","austin","c","c","u"
"c_039",3,3.79877646764167,0.468523218446155,0.854166666666667,0.0416666666666667,"A_control","austin","c","c","u"
"c_043",3,5.01504019895833,0.0783058983059348,0.770833333333333,0.0633621096906065,"A_control","austin","c","c","u"
"c_044",2,4.260716080665,0.0909119844450004,0.890625,0.015625,"A_control","austin","c","c","u"
"c_045",2,3.151875913145,0.188432991505,0.984375,0.015625,"A_control","austin","c","c","u"
"c_046",2,3.63723528385,0.27955687046,0.984375,0.015625,"A_control","austin","c","c","u"
"c_047",2,3.4821256995175,0.2895507216475,0.890625,0.046875,"A_control","austin","c","c","u"
"c_058",2,1.72517955303,0.0447794199,0.96875,0,"A_control","austin","c","c","u"
"c_059",3,2.62736248970167,0.0835250715016684,0.979166666666667,0.0104166666666667,"A_control","austin","c","c","u"
"c_061",3,4.06922904650333,0.0699049630978335,0.822916666666667,0.0551198189805123,"A_control","austin","c","c","u"
"c_062",2,3.780950784685,0.00938868522500003,0.859375,0.046875,"A_control","austin","c","c","u"
"c_078",2,2.887956500055,0.250172495845,0.90625,0.0625,"A_control","austin","c","c","u"
"c_079",3,4.48920675118833,0.578820564307314,0.916666666666667,0.0104166666666667,"A_control","austin","c","c","u"
"c_081",3,3.484649181365,0.413023113401554,0.895833333333333,0.0416666666666667,"A_control","austin","c","c","u"
"c_082",3,2.86636734008833,0.14332753036429,0.895833333333333,0.0208333333333333,"A_control","austin","c","c","u"
"c_084",3,3.412345369655,0.123539353480051,0.989583333333333,0.0104166666666667,"A_control","austin","c","c","u"
"c_085",2,3.32694900036,0.10731995106,0.890625,0.046875,"A_control","austin","c","c","u"
"c_086",3,3.39153683185667,0.174380533475195,0.90625,0.0180421959121758,"A_control","austin","c","c","u"
"c_101",3,2.853226065635,0.185754829198409,0.947916666666667,0.0520833333333333,"A_control","austin","c","c","u"
"c_103",2,4.3925229907025,0.0780959725374997,0.734375,0.046875,"A_control","austin","c","c","u"
"8957",3,5.36458684405667,0.184024832324199,0.652217741935484,0.0216284073141856,"H_control_first","houston","c","c","u"
"8960",3,5.26618206732167,0.329540686955921,0.8125,0.0477351634891233,"H_control_first","houston","c","c","u"
"8961",3,3.06263717188167,0.136182823051282,0.9375,0.0180421959121758,"H_control_first","houston","c","c","u"
"8963",3,3.54364882906667,0.0179586058063752,0.947916666666667,0.0104166666666667,"H_control_first","houston","c","c","u"
"8972",3,3.65411670745667,0.249518940129775,0.885416666666667,0.0104166666666667,"H_control_first","houston","c","c","u"
