"subind","group","N","rt_mean","rt_se","acc_mean","acc_se"
"1_173_second","A2_second",3,3.90106189251,0.221752156174675,0.895833333333333,0.0454051973285487
"1627_2","H_first",2,5.898138797125,0.488592968475,0.625,0
"1794_1","H_first",1,6.5975909127,NA,0.65625,NA
"1794_1_second","H_second",1,5.33895582139,NA,0.6875,NA
"1986_1_second","H_second",2,4.70817271904,0.19855087581,0.734375,0.015625
"2436_2_second","H_second",3,3.76593951256833,0.173448692832623,0.875,0.0477351634891233
"2569_2_second","H_second",3,5.42157744010167,0.546249069338845,0.760416666666667,0.0890000390137243
"1496_2_third","H_third",3,3.61016350782833,0.242268402911195,0.78125,0.0541265877365274
"1589_2_third","H_third",2,3.9341784022925,0.3811889100225,0.703125,0.015625
"1690_2_third","H_third",3,3.45525347688167,0.129574289474479,0.822916666666667,0.0729166666666667
"1697_1_third","H_third",3,3.99934305008,0.124837817035915,0.854166666666667,0.0104166666666667
"2167_2_third","H_third",2,4.237802155595,0.307508639225,0.71875,0.0625
"2416_1_third","H_third",3,5.36670185866667,0.287367968339582,0.822916666666667,0.0208333333333333
"2479_1_third","H_third",3,4.41107210008,0.225947718639851,0.864583333333333,0.0751156515721664
"2569_2_third","H_third",3,4.30221652110667,0.250652103542085,0.895833333333333,0.0104166666666667
"2798_1_third","H_third",1,5.51909130169,NA,0.65625,NA
"LDFHO10238_1","H2_first",1,4.71075531891,NA,0.71875,NA
"LDFHO10297_1","H2_first",2,3.97103850851,0.11716958119,0.859375,0.015625
"LDFHO10328_1","H2_first",3,4.10224508354,0.1453636467463,0.760416666666667,0.0416666666666667
"LDFHO10493_1","H2_first",2,3.3949568675825,0.2785046743775,0.921875,0.015625
"/LDFHO1794_1","H2_first",2,5.0013471556225,0.3063930525575,0.703125,0.046875
"/LDFHO5782_1","H2_first",3,3.900560738725,0.299898941969104,0.75,0.0477351634891233
"/LDFHO9087_1","H2_first",2,2.795789233705,0.258630172385,0.921875,0.015625
"c_032","A_control",3,4.03570652008,0.0831427834013239,0.833333333333333,0.081356767457361
"c_037","A_control",2,3.21496939659,0.0819175243400001,0.953125,0.046875
"c_039","A_control",3,3.79877646764167,0.468523218446155,0.854166666666667,0.0416666666666667
"c_043","A_control",3,5.01504019895833,0.0783058983059348,0.770833333333333,0.0633621096906065
"c_044","A_control",2,4.260716080665,0.0909119844450004,0.890625,0.015625
"c_045","A_control",2,3.151875913145,0.188432991505,0.984375,0.015625
"c_046","A_control",2,3.63723528385,0.27955687046,0.984375,0.015625
"c_047","A_control",2,3.4821256995175,0.2895507216475,0.890625,0.046875
"c_058","A_control",2,1.72517955303,0.0447794199,0.96875,0
"c_059","A_control",3,2.62736248970167,0.0835250715016684,0.979166666666667,0.0104166666666667
"c_061","A_control",3,4.06922904650333,0.0699049630978335,0.822916666666667,0.0551198189805123
"c_062","A_control",2,3.780950784685,0.00938868522500003,0.859375,0.046875
"c_078","A_control",2,2.887956500055,0.250172495845,0.90625,0.0625
"c_079","A_control",3,4.48920675118833,0.578820564307314,0.916666666666667,0.0104166666666667
"c_081","A_control",3,3.484649181365,0.413023113401554,0.895833333333333,0.0416666666666667
"c_082","A_control",3,2.86636734008833,0.14332753036429,0.895833333333333,0.0208333333333333
"c_084","A_control",3,3.412345369655,0.123539353480051,0.989583333333333,0.0104166666666667
"c_085","A_control",2,3.32694900036,0.10731995106,0.890625,0.046875
"c_086","A_control",3,3.39153683185667,0.174380533475195,0.90625,0.0180421959121758
"c_101","A_control",3,2.853226065635,0.185754829198409,0.947916666666667,0.0520833333333333
"c_103","A_control",2,4.3925229907025,0.0780959725374997,0.734375,0.046875
"8957","H_control_first",3,5.36519880450167,0.184455823851194,0.65625,0.0180421959121758
"8960","H_control_first",3,5.26618206732167,0.329540686955921,0.8125,0.0477351634891233
"8961","H_control_first",3,3.06263717188167,0.136182823051282,0.9375,0.0180421959121758
"8963","H_control_first",3,3.54364882906667,0.0179586058063752,0.947916666666667,0.0104166666666667
"8972","H_control_first",3,3.65411670745667,0.249518940129775,0.885416666666667,0.0104166666666667
"8960_c_second","H_control_second",3,3.870483651785,0.0905467839475853,0.8125,0.03125
"8961_c_second","H_control_second",3,2.68804465187167,0.022899666518908,0.9375,0.0360843918243516
"8963_c_second","H_control_second",3,3.80346411992,0.245033165118344,0.947916666666667,0.0208333333333333
"8967_c_second","H_control_second",3,3.12750664084667,0.0607862734530736,0.958333333333333,0.0208333333333333
"8972_c_second","H_control_second",3,3.73874545218833,0.0545123076045117,0.864583333333333,0.0275599094902562
"8974_c_second","H_control_second",2,3.39930547187,0.12741695039,0.953125,0.046875
"8960_c_third","H_control_third",3,4.72933665543333,0.219351157438212,0.791666666666667,0.0208333333333333
"8961_c_third","H_control_third",2,3.4813102076825,0.3636608246725,0.890625,0.046875
"8963_c_third","H_control_third",3,2.73785801663333,0.120813467532959,0.96875,0
