"subind","first","runnum","N","rt_median","acc_avg","groups"
"2_034_third",1,"1",32,4.5521709919,0.875,"A_third"
"2_034_third",1,"2",32,4.746817588805,0.8125,"A_third"
"2_034_third",1,"3",32,4.294062495235,1,"A_third"
"ldrc2_0_104",1,"1",31,4.11695313454,0.838709677419355,"A_first2"
"ldrc2_0_104",1,"2",32,4.18106913567,0.96875,"A_first2"
"ldrc2_0_104",1,"3",32,3.82732105255,0.9375,"A_first2"
"ldrc2_0_122",1,"1",32,5.04237890244,0.78125,"A_first2"
"ldrc2_0_122",1,"2",32,4.18639492989,0.78125,"A_first2"
"ldrc2_0_122",1,"3",32,4.43239402771,0.90625,"A_first2"
"ldrc2_0_123",1,"1",32,4.29564154148,0.875,"A_first2"
"ldrc2_0_123",1,"3",32,3.02671897411,0.9375,"A_first2"
"ldrc2_0_124",1,"1",32,3.292988419535,0.8125,"A_first2"
"ldrc2_0_124",1,"2",32,2.94875907898,0.96875,"A_first2"
"ldrc2_0_124",1,"3",32,2.73053884506,0.96875,"A_first2"
"ldrc2_0_128",1,"1",32,4.332531929015,0.9375,"A_first2"
"ldrc2_0_128",1,"2",32,4.62404799461,0.96875,"A_first2"
"ldrc2_0_128",1,"3",32,3.55677700043,0.84375,"A_first2"
"ldrc2_0_135",1,"1",32,5.303750395775,0.8125,"A_first2"
"ldrc2_0_137",1,"1",32,4.53723502159,0.875,"A_first2"
"ldrc2_0_137",1,"2",32,4.57901978493,0.84375,"A_first2"
"ldrc2_0_137",1,"3",32,4.36687421799,0.78125,"A_first2"
"ldrc2_0_140",1,"1",32,4.88218998909,0.90625,"A_first2"
"ldrc2_0_140",1,"2",32,5.709171414375,0.75,"A_first2"
"ldrc2_0_140",1,"3",32,5.47545993328,0.875,"A_first2"
"ldrc2_0_145",1,"1",32,3.43590414524,0.9375,"A_first2"
"ldrc2_0_145",1,"2",32,4.73246002197,0.96875,"A_first2"
"ldrc2_0_145",1,"3",32,3.7948679924,1,"A_first2"
"ldrc2_0_151",1,"1",32,4.994810938835,0.9375,"A_first2"
"ldrc2_0_151",1,"2",32,4.65283107758,0.78125,"A_first2"
"ldrc2_0_151",1,"3",32,4.71698200703,0.8125,"A_first2"
"ldrc2_0_172",1,"1",32,4.65354609489,0.90625,"A_first2"
"ldrc2_0_172",1,"2",32,4.70703291893,0.9375,"A_first2"
"ldrc2_0_172",1,"3",32,4.283279538155,1,"A_first2"
"ldrc2_0_175",1,"1",32,4.0792825222,1,"A_first2"
"ldrc2_0_175",1,"2",32,3.62315392494,0.84375,"A_first2"
"ldrc2_1_129",1,"1",32,3.141140937805,0.875,"A_first2"
"ldrc2_1_133",1,"1",32,4.40701007843,0.78125,"A_first2"
"ldrc2_1_133",1,"2",32,3.89484596252,0.84375,"A_first2"
"ldrc2_1_133",1,"3",32,4.014931082725,0.875,"A_first2"
"ldrc2_1_134",1,"1",32,4.57700610161,0.875,"A_first2"
"ldrc2_1_139",1,"2",32,6.19374585152,0.84375,"A_first2"
"ldrc2_1_141",1,"1",32,5.80395507812,0.71875,"A_first2"
"ldrc2_1_141",1,"2",32,3.96338701248,0.71875,"A_first2"
"ldrc2_1_141",1,"3",32,4.49844408035,0.90625,"A_first2"
"ldrc2_1_143",1,"1",32,4.34486699104,0.84375,"A_first2"
"ldrc2_1_143",1,"2",32,3.986207008365,0.9375,"A_first2"
"ldrc2_1_143",1,"3",32,5.00986099243,0.84375,"A_first2"
"ldrc2_1_147",1,"1",32,5.825028538705,0.6875,"A_first2"
"ldrc2_1_147",1,"3",32,5.649701952935,0.8125,"A_first2"
"ldrc2_1_152",1,"2",32,4.34093689919,0.90625,"A_first2"
"ldrc2_1_157",1,"1",32,2.95798647404,0.9375,"A_first2"
"ldrc2_1_157",1,"2",32,2.82238602638,0.9375,"A_first2"
"ldrc2_1_157",1,"3",32,3.2164888382,0.90625,"A_first2"
"ldrc2_1_173",1,"1",32,3.15933299065,0.96875,"A_first2"
"ldrc2_1_173",1,"2",32,3.41002357006,0.9375,"A_first2"
"ldrc2_1_173",1,"3",32,3.17476797104,0.84375,"A_first2"
"1627_2",1,"1",31,6.39676054173,0.612903225806452,"H_first"
"1627_2",1,"2",32,5.40954582865,0.625,"H_first"
"1794_1",1,"1",32,6.5975909127,0.65625,"H_first"
"1794_1_second",1,"1",31,5.40758810672,0.67741935483871,"H_second"
"1986_1_second",1,"1",32,4.50962184323,0.71875,"H_second"
"1986_1_second",1,"3",32,4.90672359485,0.75,"H_second"
"2436_2_second",1,"1",32,3.87375840456,0.78125,"H_second"
"2436_2_second",1,"2",32,3.997572816495,0.9375,"H_second"
"2436_2_second",1,"3",32,3.42648731665,0.90625,"H_second"
"2569_2_second",1,"1",32,5.27955650524,0.6875,"H_second"
"2569_2_second",1,"2",32,6.43069060863,0.65625,"H_second"
"2569_2_second",1,"3",32,4.554485206435,0.9375,"H_second"
"1496_2_third",1,"1",31,3.77578383555,0.67741935483871,"H_third"
"1496_2_third",1,"2",32,3.929063633,0.78125,"H_third"
"1496_2_third",1,"3",32,3.134787868925,0.875,"H_third"
"1589_2_third",1,"1",32,4.315367312315,0.6875,"H_third"
"1589_2_third",1,"2",32,3.55298949227,0.71875,"H_third"
"1690_2_third",1,"1",32,3.658910952115,0.9375,"H_third"
"1690_2_third",1,"2",32,3.49220951532,0.6875,"H_third"
"1690_2_third",1,"3",32,3.21463996321,0.84375,"H_third"
"1697_1_third",1,"1",32,3.76582369508,0.875,"H_third"
"1697_1_third",1,"2",32,4.03958492039,0.84375,"H_third"
"1697_1_third",1,"3",32,4.19262053477,0.84375,"H_third"
"2167_2_third",1,"1",32,4.54531079482,0.65625,"H_third"
"2167_2_third",1,"3",32,3.93029351637,0.78125,"H_third"
"2416_1_third",1,"1",32,5.27131770081,0.84375,"H_third"
"2416_1_third",1,"2",32,5.90522735588,0.78125,"H_third"
"2416_1_third",1,"3",32,4.92356051931,0.84375,"H_third"
"2479_1_third",1,"1",32,4.79001212213,0.90625,"H_third"
"2479_1_third",1,"2",32,4.00838750362,0.96875,"H_third"
"2479_1_third",1,"3",32,4.43481667449,0.71875,"H_third"
"2569_2_third",1,"1",32,4.68995348668,0.90625,"H_third"
"2569_2_third",1,"2",32,4.38352882467,0.875,"H_third"
"2569_2_third",1,"3",32,3.83316725197,0.90625,"H_third"
"2798_1_third",1,"2",32,5.51909130169,0.65625,"H_third"
"LDFHO10238_1",1,"1",31,4.71597208558,0.709677419354839,"H2_first"
"LDFHO10328_1",1,"1",32,3.92344645258,0.84375,"H2_first"
"LDFHO10328_1",1,"2",32,4.39017665474,0.71875,"H2_first"
"LDFHO10328_1",1,"3",32,3.9931121433,0.71875,"H2_first"
"LDFHO10493_1",1,"1",32,3.67346154196,0.90625,"H2_first"
"LDFHO10493_1",1,"2",32,3.116452193205,0.9375,"H2_first"
"/LDFHO1794_1",1,"1",32,4.694954103065,0.75,"H2_first"
"/LDFHO1794_1",1,"2",32,5.30774020818,0.65625,"H2_first"
"/LDFHO5782_1",1,"1",32,4.49434223632,0.71875,"H2_first"
"/LDFHO5782_1",1,"2",32,3.5302821434,0.84375,"H2_first"
"/LDFHO5782_1",1,"3",32,3.677057836455,0.6875,"H2_first"
"/LDFHO9087_1",1,"2",32,3.05441940609,0.90625,"H2_first"
"/LDFHO9087_1",1,"3",32,2.53715906132,0.9375,"H2_first"
"c_032",1,"1",31,4.10968315601,0.967741935483871,"A_control"
"c_032",1,"2",32,3.87061595917,0.84375,"A_control"
"c_032",1,"3",32,4.13548541069,0.6875,"A_control"
"c_037",1,"1",32,3.13305187225,0.90625,"A_control"
"c_037",1,"2",32,3.29688692093,1,"A_control"
"c_039",1,"1",32,4.731463551525,0.8125,"A_control"
"c_039",1,"2",32,3.25424647331,0.8125,"A_control"
"c_039",1,"3",32,3.41061937809,0.9375,"A_control"
"c_043",1,"1",32,5.16156005859,0.65625,"A_control"
"c_043",1,"2",32,4.9896800518,0.78125,"A_control"
"c_043",1,"3",32,4.893880486485,0.875,"A_control"
"c_044",1,"1",32,4.35162806511,0.875,"A_control"
"c_044",1,"2",32,4.16980409622,0.90625,"A_control"
"c_045",1,"1",32,3.34030890465,0.96875,"A_control"
"c_045",1,"2",32,2.96344292164,1,"A_control"
"c_046",1,"1",32,3.91679215431,0.96875,"A_control"
"c_046",1,"3",32,3.35767841339,1,"A_control"
"c_047",1,"1",32,3.19257497787,0.84375,"A_control"
"c_047",1,"2",32,3.771676421165,0.9375,"A_control"
"c_058",1,"1",32,1.76995897293,0.96875,"A_control"
"c_058",1,"3",32,1.68040013313,0.96875,"A_control"
"c_059",1,"1",32,2.77857589722,0.96875,"A_control"
"c_059",1,"2",32,2.61323904991,0.96875,"A_control"
"c_059",1,"3",32,2.490272521975,1,"A_control"
"c_061",1,"1",32,4.01424789429,0.84375,"A_control"
"c_061",1,"2",32,3.98539614677,0.71875,"A_control"
"c_061",1,"3",32,4.20804309845,0.90625,"A_control"
"c_062",1,"1",32,3.77156209946,0.90625,"A_control"
"c_062",1,"2",32,3.79033946991,0.8125,"A_control"
"c_078",1,"1",32,2.63778400421,0.96875,"A_control"
"c_078",1,"2",32,3.1381289959,0.84375,"A_control"
"c_079",1,"1",32,5.55785083771,0.90625,"A_control"
"c_079",1,"2",32,4.34037089348,0.90625,"A_control"
"c_079",1,"3",32,3.569398522375,0.9375,"A_control"
"c_081",1,"1",32,4.294342041015,0.9375,"A_control"
"c_081",1,"2",32,3.22144448757,0.9375,"A_control"
"c_081",1,"3",32,2.93816101551,0.8125,"A_control"
"c_082",1,"1",32,3.14901101589,0.875,"A_control"
"c_082",1,"2",32,2.76643097401,0.875,"A_control"
"c_082",1,"3",32,2.683660030365,0.9375,"A_control"
"c_084",1,"1",32,3.460703969,1,"A_control"
"c_084",1,"2",32,3.598004102705,1,"A_control"
"c_084",1,"3",32,3.17832803726,0.96875,"A_control"
"c_085",1,"2",32,3.43426895142,0.84375,"A_control"
"c_085",1,"3",32,3.2196290493,0.9375,"A_control"
"c_086",1,"1",32,3.7354118824,0.90625,"A_control"
"c_086",1,"2",32,3.26997959614,0.875,"A_control"
"c_086",1,"3",32,3.16921901703,0.9375,"A_control"
"c_101",1,"1",32,2.71189379692,1,"A_control"
"c_101",1,"2",32,3.22143793106,0.84375,"A_control"
"c_101",1,"3",32,2.626346468925,1,"A_control"
"c_103",1,"1",32,4.47061896324,0.78125,"A_control"
"c_103",1,"2",32,4.314427018165,0.6875,"A_control"
"8957",1,"1",31,5.62348845507,0.612903225806452,"H_control_first"
"8957",1,"2",32,5.46168158275,0.6875,"H_control_first"
"8957",1,"3",32,5.00859049435,0.65625,"H_control_first"
"8960",1,"1",32,4.61325076416,0.84375,"H_control_first"
"8960",1,"2",32,5.51485486517,0.71875,"H_control_first"
"8960",1,"3",32,5.670440572635,0.875,"H_control_first"
"8961",1,"1",32,3.33132916194,0.90625,"H_control_first"
"8961",1,"2",32,2.96690134056,0.96875,"H_control_first"
"8961",1,"3",32,2.889681013145,0.9375,"H_control_first"
"8963",1,"1",32,3.51738592223,0.9375,"H_control_first"
"8963",1,"2",32,3.53556167365,0.9375,"H_control_first"
"8963",1,"3",32,3.57799889132,0.96875,"H_control_first"
"8972",1,"1",32,3.457022566695,0.875,"H_control_first"
"8972",1,"2",32,4.14970852243,0.90625,"H_control_first"
"8972",1,"3",32,3.355619033245,0.875,"H_control_first"
