"","TrialNum","Onset","TrueOns","cond","Stim","Resp","RT","StopTrial","SSD","correct","subind","runnum","first","group_num","group"
"62",61,165,165.02,0,0,"1",0.506734,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"63",62,167,167,0,0,"0",0,0,0,5,"ldrc_0_009","1",1,1,"A_first"
"64",63,169,169,1,1,"1",0.468871,0,0,0,"ldrc_0_009","1",1,1,"A_first"
"65",64,174,174,0,0,"1",0.474934,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"66",65,177,177.01,0,0,"1",0.55876,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"67",66,179,179.01,1,1,"4",0.49016,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"68",67,181,181.01,0,0,"1",0.566279,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"69",68,183,183.01,1,1,"4",0.667512,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"70",69,186,186.01,3,1,"0",0,1,0.2,4,"ldrc_0_009","1",1,1,"A_first"
"71",70,188,188.01,3,1,"4",0.488549,1,0.25,3,"ldrc_0_009","1",1,1,"A_first"
"72",71,192,192.01,0,0,"1",0.448988,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"73",72,195,195.01,0,0,"1",0.429953,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"74",73,197,197.01,3,1,"0",0,1,0.2,4,"ldrc_0_009","1",1,1,"A_first"
"75",74,199,199.01,1,1,"4",0.476183,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"76",75,203,203.02,0,0,"1",0.669967,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"77",76,206,206.02,0,0,"4",0.354674,0,0,0,"ldrc_0_009","1",1,1,"A_first"
"78",77,208,208,1,1,"4",0.939606,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"79",78,210,210,0,0,"1",0.490765,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"80",79,214,214,3,1,"4",0.406227,1,0.25,3,"ldrc_0_009","1",1,1,"A_first"
"81",80,217,217.01,2,0,"1",0.322116,1,0.2,3,"ldrc_0_009","1",1,1,"A_first"
"82",81,219,219.01,0,0,"1",0.837473,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"83",82,221,221.01,1,1,"4",0.536578,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"84",83,223,223.01,0,0,"1",0.515944,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"85",84,225,225.01,0,0,"1",0.622054,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"86",85,227,227.01,1,1,"4",0.458293,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"87",86,230,230.01,1,1,"4",0.581097,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"88",87,232,232.01,1,1,"4",0.585379,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"89",88,234,234.01,0,0,"1",0.5446,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"90",89,238,238.01,0,0,"1",0.507085,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"91",90,240,240.01,0,0,"1",0.527319,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"92",91,242,242.02,0,0,"1",0.5996,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"93",92,249,249.02,1,1,"4",0.459935,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"94",93,253,253,1,1,"1",0.389042,0,0,0,"ldrc_0_009","1",1,1,"A_first"
"95",94,257,257,2,0,"0",0,1,0.15,4,"ldrc_0_009","1",1,1,"A_first"
"96",95,259,259.01,3,1,"0",0,1,0.2,4,"ldrc_0_009","1",1,1,"A_first"
"97",96,261,261.01,2,0,"1",0.447086,1,0.25,3,"ldrc_0_009","1",1,1,"A_first"
"98",97,265,265.01,0,0,"4",0.910565,0,0,0,"ldrc_0_009","1",1,1,"A_first"
"99",98,271,271.01,2,0,"0",0,1,0.2,4,"ldrc_0_009","1",1,1,"A_first"
"100",99,276,276.01,2,0,"0",0,1,0.25,4,"ldrc_0_009","1",1,1,"A_first"
"101",100,278,278.01,2,0,"0",0,1,0.3,4,"ldrc_0_009","1",1,1,"A_first"
"102",101,280,280.01,1,1,"4",0.482716,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"103",102,282,282.02,1,1,"4",0.44596,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"104",103,284,284.02,0,0,"1",0.621256,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"105",104,286,286.02,1,1,"4",0.711413,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"106",105,288,288.02,1,1,"4",0.50366,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"107",106,291,291,2,0,"0",0,1,0.35,4,"ldrc_0_009","1",1,1,"A_first"
"108",107,295,295,0,0,"1",0.668506,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"109",108,298,298.01,2,0,"1",0.530553,1,0.4,3,"ldrc_0_009","1",1,1,"A_first"
"110",109,300,300.01,2,0,"1",0.393722,1,0.35,3,"ldrc_0_009","1",1,1,"A_first"
"111",110,302,302.01,0,0,"1",0.449927,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"112",111,305,305.01,1,1,"4",0.489745,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"113",112,307,307.01,1,1,"4",0.487118,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"114",113,309,309.01,0,0,"1",0.430237,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"115",114,312,312.01,3,1,"4",0.480173,1,0.3,3,"ldrc_0_009","1",1,1,"A_first"
"116",115,317,317.01,0,0,"1",0.43335,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"117",116,319,319.01,1,1,"4",0.70858,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"118",117,321,321.01,0,0,"1",0.653728,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"119",118,323,323.02,0,0,"1",0.568102,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"120",119,325,325.02,1,1,"4",0.33529,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"121",120,329,329.02,2,0,"1",0.44677,1,0.25,3,"ldrc_0_009","1",1,1,"A_first"
"122",121,331,331,1,1,"4",0.496683,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"123",122,335,335,1,1,"4",0.534872,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"124",123,337,337,1,1,"4",0.450308,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"125",124,339,339.01,1,1,"4",0.612602,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"126",125,341,341.01,1,1,"4",0.840892,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"127",126,343,343.01,1,1,"4",0.358025,0,0,1,"ldrc_0_009","1",1,1,"A_first"
"128",127,348,348.01,2,0,"1",0.484016,1,0.2,3,"ldrc_0_009","1",1,1,"A_first"
"129",0,0,0.02,0,0,"1",0.603099,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"130",1,2,2.02,0,0,"1",0.482131,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"131",2,6,6,0,0,"1",0.472151,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"132",3,8,8,1,1,"4",0.363725,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"133",4,10,10,1,1,"4",0.501971,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"134",5,12,12,1,1,"4",0.75421,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"135",6,14,14.01,1,1,"4",0.405346,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"136",7,16,16.01,1,1,"4",0.473722,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"137",8,19,19.01,1,1,"4",0.461482,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"138",9,21,21.01,0,0,"1",0.435803,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"139",10,24,24.01,2,0,"1",0.527704,1,0.25,3,"ldrc_0_009","2",1,1,"A_first"
"140",11,29,29.01,3,1,"4",0.471794,1,0.2,3,"ldrc_0_009","2",1,1,"A_first"
"141",12,31,31.01,0,0,"1",0.694052,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"142",13,33,33.01,1,1,"4",0.431233,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"143",14,35,35.01,3,1,"0",0,1,0.15,4,"ldrc_0_009","2",1,1,"A_first"
"144",15,38,38.02,1,1,"4",0.536406,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"145",16,40,40.02,1,1,"4",0.655462,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"146",17,42,42.02,3,1,"0",0,1,0.2,4,"ldrc_0_009","2",1,1,"A_first"
"147",18,44,44.02,1,1,"4",0.498988,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"148",19,46,46,1,1,"4",0.430656,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"149",20,52,52,1,1,"4",0.507585,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"150",21,55,55.01,1,1,"4",0.49742,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"151",22,57,57.01,1,1,"4",0.583696,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"152",23,59,59.01,0,0,"4",0.747001,0,0,0,"ldrc_0_009","2",1,1,"A_first"
"153",24,61,61.01,0,0,"1",0.874285,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"154",25,63,63.01,1,1,"4",0.580211,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"155",26,65,65.01,0,0,"1",0.913599,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"156",27,68,68.01,1,1,"4",0.487474,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"157",28,71,71.01,0,0,"1",0.465328,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"158",29,73,73.01,1,1,"4",0.484624,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"159",30,80,80.02,2,0,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"160",31,87,87.02,2,0,"0",0,1,0.3,4,"ldrc_0_009","2",1,1,"A_first"
"161",32,89,89,1,1,"4",0.628286,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"162",33,91,91,3,1,"4",0.484451,1,0.35,3,"ldrc_0_009","2",1,1,"A_first"
"163",34,94,94,2,0,"0",0,1,0.3,4,"ldrc_0_009","2",1,1,"A_first"
"164",35,96,96.01,0,0,"1",0.547433,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"165",36,98,98.01,1,1,"4",0.462523,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"166",37,100,100.01,0,0,"1",0.699076,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"167",38,103,103.01,0,0,"1",0.602015,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"168",39,106,106.01,2,0,"1",0.460708,1,0.35,3,"ldrc_0_009","2",1,1,"A_first"
"169",40,108,108.01,0,0,"1",0.50589,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"170",41,111,111.01,0,0,"1",0.491704,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"171",42,113,113.01,3,1,"4",0.501954,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"172",43,115,115.01,2,0,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"173",44,118,118.01,3,1,"0",0,1,0.3,4,"ldrc_0_009","2",1,1,"A_first"
"174",45,120,120.02,1,1,"4",0.59026,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"175",46,124,124.02,1,1,"4",0.597114,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"176",47,126,126.02,0,0,"1",0.463975,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"177",48,128,128,0,0,"0",0,0,0,5,"ldrc_0_009","2",1,1,"A_first"
"178",49,130,130,2,0,"1",0.499177,1,0.35,3,"ldrc_0_009","2",1,1,"A_first"
"179",50,132,132,3,1,"4",0.524214,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"180",51,134,134,3,1,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"181",52,136,136.01,0,0,"1",0.51478,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"182",53,139,139.01,1,1,"4",0.626758,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"183",54,142,142.01,0,0,"1",0.449561,0,0,1,"ldrc_0_009","2",1,1,"A_first"
