"group","N","go_rt_me","go_rt_se","go_acc_me","go_acc_se","SSRT_mean","SSRT_se","stop_acc_mean","stop_acc_se","ssd_mean","ssd_se"
"A2_first",10,0.657345525,0.0283111448007389,0.863020833333333,0.0218646635631898,0.225312084375,0.014723537362853,0.5578125,0.0118882418859514,0.41125,0.031294932974223
"A2_second",10,0.659490675,0.0172070377965129,0.870833333333333,0.0173576385415972,0.2358080171875,0.0175457744209435,0.5546875,0.0107372542333793,0.40296875,0.0264052226953358
"A_first",8,0.65790103125,0.0292306698637962,0.858072916666667,0.0184602172900492,0.23573008984375,0.0289529332439197,0.5546875,0.0254013541891541,0.39814453125,0.0461613120688327
"A_second",8,0.60983265625,0.0263268541813661,0.911458333333333,0.0209029714105359,0.24469324609375,0.0155580440125401,0.53515625,0.01171875,0.3486328125,0.0300733233354237
