"subind","runnum","outliers","group"
"0_013_third","1",22,3
"0_013_third","2",50,3
"0_026_third","1",8,3
"1_001_third","1",9,3
"1_001_third","2",30,3
"1_004_third","1",12,3
"1_004_third","2",15,3
"1_007_third","1",13,3
"1_007_third","2",16,3
"1_036_third","1",0,3
"1_036_third","2",0,3
"2_005_third","1",0,3
"2_005_third","2",1,3
"2_008_third","1",0,3
"2_008_third","2",0,3
"2_010_third","1",0,3
"2_010_third","2",14,3
"2_034_third","1",0,3
"2_034_third","2",0,3
