"subind","runnum","outliers","group"
"8960_c_second","1",0,7
"8960_c_second","2",0,7
"8961_c_second","1",2,7
"8961_c_second","2",8,7
"8963_c_second","1",3,7
"8963_c_second","2",0,7
"8967_c_second","1",1,7
"8967_c_second","2",20,7
"8972_c_second","1",0,7
"8972_c_second","2",1,7
"8973_c_second","1",36,7
"8974_c_second","1",28,7
"8974_c_second","2",44,7
"8976_c_second","1",33,7
