"subind","runnum","outliers","group"
"0_013_second","1",17,2
"0_013_second","2",9,2
"0_026_second","1",5,2
"0_049_second","1",9,2
"0_049_second","2",2,2
"0_055_second","1",2,2
"0_055_second","2",23,2
"1_001_second","1",2,2
"1_001_second","2",60,2
"1_004_second","1",17,2
"1_004_second","2",17,2
"1_015_second","1",24,2
"1_015_second","2",7,2
"1_020_second","1",0,2
"1_020_second","2",0,2
"1_028_second","1",3,2
"1_028_second","2",1,2
"1_036_second","1",3,2
"1_036_second","2",7,2
"2_005_second","1",5,2
"2_005_second","2",16,2
"2_008_second","1",0,2
"2_008_second","2",2,2
"2_010_second","1",4,2
"2_010_second","2",5,2
"2_031_second","1",9,2
"2_034_second","1",11,2
"2_048_second","1",4,2
"2_048_second","2",33,2
