"subind","runnum","outliers","group"
"1794_1_second","1",0,4
"1986_1_second","1",5,4
"1986_1_second","2",22,4
"2436_2_second","1",0,4
"2436_2_second","2",26,4
"2569_2_second","1",0,4
"2569_2_second","2",1,4
"2748_1_second","1",0,4
"2748_1_second","2",3,4
