"","subnum","runnum","vif","value"
"5332","FHO10328_1_second","Run2","des.matV12",NA
"5373","FHO10378_1_second","Run3","des.matV11",NA
"5374","FHO10378_1_second","Run3","des.matV12",NA
"5387","FHO10493_1_second","Run1","des.matV11",NA
"5388","FHO10493_1_second","Run1","des.matV12",NA
"5401","FHO10493_1_second","Run2","des.matV11",NA
"5402","FHO10493_1_second","Run2","des.matV12",NA
"5413","FHO10493_1_second","Run3","des.matV9",NA
"5414","FHO10493_1_second","Run3","des.matV10",NA
"5415","FHO10493_1_second","Run3","des.matV11",NA
"5416","FHO10493_1_second","Run3","des.matV12",NA
"5441","FHO10942_1_second","Run1","des.matV9",NA
"5442","FHO10942_1_second","Run1","des.matV10",NA
"5455","FHO10942_1_second","Run2","des.matV9",NA
"5456","FHO10942_1_second","Run2","des.matV10",NA
"5469","FHO10942_1_second","Run3","des.matV9",NA
"5470","FHO10942_1_second","Run3","des.matV10",NA
"5499","FHO12307_1_second","Run2","des.matV11",NA
"5500","FHO12307_1_second","Run2","des.matV12",NA
"5513","FHO12307_1_second","Run3","des.matV11",NA
"5514","FHO12307_1_second","Run3","des.matV12",NA
"5541","DFHO1794_1_second","Run2","des.matV11",NA
"5542","DFHO1794_1_second","Run2","des.matV12",NA
"5569","DFHO9087_1_second","Run1","des.matV11",NA
"5570","DFHO9087_1_second","Run1","des.matV12",NA
"5583","DFHO9087_1_second","Run2","des.matV11",NA
"5584","DFHO9087_1_second","Run2","des.matV12",NA
"5597","DFHO9087_1_second","Run3","des.matV11",NA
"5598","DFHO9087_1_second","Run3","des.matV12",NA
"5653","LDFHO24839_1_3","Run1","des.matV11",NA
"5654","LDFHO24839_1_3","Run1","des.matV12",NA
"5665","LDFHO24839_1_3","Run2","des.matV9",NA
"5666","LDFHO24839_1_3","Run2","des.matV10",NA
"5667","LDFHO24839_1_3","Run2","des.matV11",NA
"5668","LDFHO24839_1_3","Run2","des.matV12",NA
