"","subnum","runnum","vif","value"
"1733","ldrc2_0_145","Run2","des.matV11",NA
"1734","ldrc2_0_145","Run2","des.matV12",NA
"1747","ldrc2_0_145","Run3","des.matV11",NA
"1748","ldrc2_0_145","Run3","des.matV12",NA
"1817","ldrc2_0_172","Run2","des.matV11",NA
"1818","ldrc2_0_172","Run2","des.matV12",NA
"1831","ldrc2_0_172","Run3","des.matV11",NA
"1832","ldrc2_0_172","Run3","des.matV12",NA
"1873","ldrc2_1_133","Run2","des.matV11",NA
"1874","ldrc2_1_133","Run2","des.matV12",NA
"1887","ldrc2_1_133","Run3","des.matV11",NA
"1888","ldrc2_1_133","Run3","des.matV12",NA
"1929","ldrc2_1_141","Run2","des.matV11",NA
"1930","ldrc2_1_141","Run2","des.matV12",NA
"2013","ldrc2_1_157","Run2","des.matV11",NA
"2014","ldrc2_1_157","Run2","des.matV12",NA
"2027","ldrc2_1_157","Run3","des.matV11",NA
"2028","ldrc2_1_157","Run3","des.matV12",NA
"2041","ldrc2_1_173","Run1","des.matV11",NA
"2042","ldrc2_1_173","Run1","des.matV12",NA
"2055","ldrc2_1_173","Run2","des.matV11",NA
"2056","ldrc2_1_173","Run2","des.matV12",NA
"2125","2436_2_second","Run1","des.matV11",NA
"2126","2436_2_second","Run1","des.matV12",NA
"2139","2436_2_second","Run2","des.matV11",NA
"2140","2436_2_second","Run2","des.matV12",NA
"2223","1496_2_third","Run2","des.matV11",NA
"2224","1496_2_third","Run2","des.matV12",NA
"2237","1496_2_third","Run3","des.matV11",NA
"2238","1496_2_third","Run3","des.matV12",NA
"2279","1690_2_third","Run1","des.matV11",NA
"2280","1690_2_third","Run1","des.matV12",NA
"2335","1697_1_third","Run2","des.matV11",NA
"2336","1697_1_third","Run2","des.matV12",NA
"2349","1697_1_third","Run3","des.matV11",NA
"2350","1697_1_third","Run3","des.matV12",NA
"2377","2167_2_third","Run3","des.matV11",NA
"2378","2167_2_third","Run3","des.matV12",NA
"2447","2479_1_third","Run2","des.matV11",NA
"2448","2479_1_third","Run2","des.matV12",NA
"2587","LDFHO10328_1","Run2","des.matV11",NA
"2588","LDFHO10328_1","Run2","des.matV12",NA
