"","subnum","runnum","vif","value"
"112","0_018","Run3","des.matV14",1.62742606386812
"113","0_025","Run1","des.matV1",2.67395109550694
"114","0_025","Run1","des.matV2",2.03035162154122
"115","0_025","Run1","des.matV3",2.26267872554647
"116","0_025","Run1","des.matV4",1.8591053878419
"117","0_025","Run1","des.matV5",1.76106255159754
"118","0_025","Run1","des.matV6",1.45672557201418
"119","0_025","Run1","des.matV7",1.725312286666
"120","0_025","Run1","des.matV8",1.24695512927549
"121","0_025","Run1","des.matV9",2.80015612312352
"122","0_025","Run1","des.matV10",1.73602748384359
"123","0_025","Run1","des.matV11",1.5437589770814
"124","0_025","Run1","des.matV12",1.30431350752992
"125","0_025","Run1","des.matV13",1.6014225083796
"126","0_025","Run1","des.matV14",1.58483097981213
"127","0_054","Run2","des.matV1",2.16293588962054
"128","0_054","Run2","des.matV2",1.80221289617583
"129","0_054","Run2","des.matV3",2.06225422478662
"130","0_054","Run2","des.matV4",1.53257377249577
"131","0_054","Run2","des.matV5",2.54856542500006
"132","0_054","Run2","des.matV6",2.06975270709648
"133","0_054","Run2","des.matV7",2.35816254595253
"134","0_054","Run2","des.matV8",1.44130723666983
"135","0_054","Run2","des.matV9",2.32354425111388
"136","0_054","Run2","des.matV10",1.57328653491971
"137","0_054","Run2","des.matV11",1.46481962750033
"138","0_054","Run2","des.matV12",1.13398233426972
"139","0_054","Run2","des.matV13",1.55651651903728
"140","0_054","Run2","des.matV14",1.34405431915685
"141","0_057","Run1","des.matV1",3.01726237351458
"142","0_057","Run1","des.matV2",2.01354424579103
"143","0_057","Run1","des.matV3",2.32800924703245
"144","0_057","Run1","des.matV4",1.64605526426035
"145","0_057","Run1","des.matV5",2.72482303678615
"146","0_057","Run1","des.matV6",1.82161893397323
"147","0_057","Run1","des.matV7",2.7302850339766
"148","0_057","Run1","des.matV8",1.87628733126273
"149","0_057","Run1","des.matV9",2.56358020042358
"150","0_057","Run1","des.matV10",1.70963259877522
"151","0_057","Run1","des.matV11",1.68788938229212
"152","0_057","Run1","des.matV12",1.27821424269046
"153","0_057","Run1","des.matV13",1.75240620786997
"154","0_057","Run1","des.matV14",1.65988562011404
"155","0_057","Run3","des.matV1",3.77942815356482
"156","0_057","Run3","des.matV2",3.20453342361626
"157","0_057","Run3","des.matV3",3.96356709057309
"158","0_057","Run3","des.matV4",2.57422796785195
"159","0_057","Run3","des.matV5",3.09776018662018
