"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"0_135","A2_first",1,0.638418,NA,0.78125,0.0208333333333333,0.5,0.5,0.5,0.5,0.29375,0.638418,0.344668,"first","0","0","austin","u"
"0_137","A2_first",2,0.5485415,0.00227350000000004,0.880208333333333,0.0625,0.5,0.5,0.40625,0.40625,0.25,0.5485415,0.2985415,"first","0","0","austin","r"
"0_140","A2_first",1,0.7799035,NA,0.833333333333333,0,0.5625,0.4375,0.4375,0.4375,0.490625,0.7644558125,0.2738308125,"first","0","0","austin","r"
"0_143","A2_first",1,0.785544,NA,0.760416666666667,0.0208333333333333,0.59375,0.40625,0.40625,0.40625,0.571875,0.73755925,0.16568425,"first","0","0","austin","r"
"0_145","A2_first",1,0.62916,NA,0.822916666666667,0.0520833333333333,0.59375,0.40625,0.40625,0.40625,0.3625,0.586908,0.224408,"first","0","0","austin","r"
"0_151","A2_first",2,0.64329675,0.01442525,0.973958333333333,0,0.5625,0.4375,0.421875,0.421875,0.4078125,0.62948321875,0.22167071875,"first","0","0","austin","u"
"0_172","A2_first",2,0.75544525,0.03827475,0.901041666666667,0.0104166666666667,0.578125,0.421875,0.421875,0.421875,0.484375,0.73143978125,0.24706478125,"first","0","0","austin","u"
"1_129","A2_first",1,0.5604735,NA,0.958333333333333,0.0104166666666667,0.5,0.5,0.5,0.5,0.3375,0.5604735,0.2229735,"first","1","1","austin","r"
"1_133","A2_first",2,0.6134015,0.0093895,0.911458333333333,0.015625,0.5625,0.4375,0.40625,0.40625,0.44375,0.59758415625,0.15383415625,"first","1","1","austin","r"
"1_139","A2_first",1,0.648455,NA,0.822916666666667,0.0416666666666667,0.59375,0.40625,0.40625,0.40625,0.453125,0.62366775,0.17054275,"first","1","1","austin","u"
"1_141","A2_first",2,0.571607,0.014251,0.848958333333333,0.0416666666666667,0.53125,0.46875,0.4375,0.4375,0.3015625,0.56395878125,0.26239628125,"first","1","1","austin","r"
"1_147","A2_first",2,0.635728,0.00755600000000001,0.833333333333333,0.0572916666666667,0.546875,0.453125,0.34375,0.34375,0.2953125,0.5919435,0.296631,"first","1","1","austin","u"
"1_152","A2_first",1,0.745774,NA,0.802083333333333,0.0104166666666667,0.53125,0.46875,0.46875,0.46875,0.496875,0.73149525,0.23462025,"first","1","1","austin","u"
"1_157","A2_first",2,0.735887,0.030151,0.890625,0.015625,0.578125,0.421875,0.421875,0.421875,0.5078125,0.70965759375,0.20184509375,"first","1","1","austin","u"
"0_122","A2_second",2,0.74189225,0.02837125,0.78125,0.0104166666666667,0.59375,0.40625,0.40625,0.40625,0.515625,0.69709528125,0.18147028125,"second","0","0","austin","r"
"0_123","A2_second",2,0.721888,0.023778,0.822916666666667,0.0104166666666667,0.59375,0.40625,0.40625,0.40625,0.5171875,0.68896975,0.17178225,"second","0","0","austin","r"
