"TrialNum","Onset","TrueOns","cond","Stim","Resp","RT","StopTrial","SSD","correct","subind","runnum","first","groupnum","group"
44,116,116.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
45,121,121.02,"1","1","4",0.553788,0,0,"1","ldrc_0_009","1",1,"1","A_first"
46,123,123.02,"1","1","4",0.619063,0,0,"1","ldrc_0_009","1",1,"1","A_first"
47,125,125.02,"1","1","4",0.705339,0,0,"1","ldrc_0_009","1",1,"1","A_first"
48,128,128,"0","0","1",0.434781,0,0,"1","ldrc_0_009","1",1,"1","A_first"
49,130,130,"3","1","4",0.481962,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
50,132,132,"0","0","1",0.667191,0,0,"1","ldrc_0_009","1",1,"1","A_first"
51,134,134,"1","1","4",0.666544,0,0,"1","ldrc_0_009","1",1,"1","A_first"
52,136,136.01,"0","0","1",0.45867,0,0,"1","ldrc_0_009","1",1,"1","A_first"
53,139,139.01,"2","0","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
54,144,144.01,"0","0","1",0.4157,0,0,"1","ldrc_0_009","1",1,"1","A_first"
55,147,147.01,"0","0","1",0.492555,0,0,"1","ldrc_0_009","1",1,"1","A_first"
56,149,149.01,"1","1","4",0.756771,0,0,"1","ldrc_0_009","1",1,"1","A_first"
57,153,153.01,"1","1","4",0.660245,0,0,"1","ldrc_0_009","1",1,"1","A_first"
58,155,155.01,"0","0","1",0.393459,0,0,"1","ldrc_0_009","1",1,"1","A_first"
59,157,157.01,"3","1","4",0.430769,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
60,163,163.02,"1","1","4",0.503441,0,0,"1","ldrc_0_009","1",1,"1","A_first"
61,165,165.02,"0","0","1",0.506734,0,0,"1","ldrc_0_009","1",1,"1","A_first"
62,167,167,"0","0","0",0,0,0,"5","ldrc_0_009","1",1,"1","A_first"
63,169,169,"1","1","1",0.468871,0,0,"0","ldrc_0_009","1",1,"1","A_first"
64,174,174,"0","0","1",0.474934,0,0,"1","ldrc_0_009","1",1,"1","A_first"
65,177,177.01,"0","0","1",0.55876,0,0,"1","ldrc_0_009","1",1,"1","A_first"
66,179,179.01,"1","1","4",0.49016,0,0,"1","ldrc_0_009","1",1,"1","A_first"
67,181,181.01,"0","0","1",0.566279,0,0,"1","ldrc_0_009","1",1,"1","A_first"
68,183,183.01,"1","1","4",0.667512,0,0,"1","ldrc_0_009","1",1,"1","A_first"
69,186,186.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
70,188,188.01,"3","1","4",0.488549,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
71,192,192.01,"0","0","1",0.448988,0,0,"1","ldrc_0_009","1",1,"1","A_first"
72,195,195.01,"0","0","1",0.429953,0,0,"1","ldrc_0_009","1",1,"1","A_first"
73,197,197.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
74,199,199.01,"1","1","4",0.476183,0,0,"1","ldrc_0_009","1",1,"1","A_first"
75,203,203.02,"0","0","1",0.669967,0,0,"1","ldrc_0_009","1",1,"1","A_first"
76,206,206.02,"0","0","4",0.354674,0,0,"0","ldrc_0_009","1",1,"1","A_first"
77,208,208,"1","1","4",0.939606,0,0,"1","ldrc_0_009","1",1,"1","A_first"
78,210,210,"0","0","1",0.490765,0,0,"1","ldrc_0_009","1",1,"1","A_first"
79,214,214,"3","1","4",0.406227,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
80,217,217.01,"2","0","1",0.322116,1,0.2,"3","ldrc_0_009","1",1,"1","A_first"
81,219,219.01,"0","0","1",0.837473,0,0,"1","ldrc_0_009","1",1,"1","A_first"
82,221,221.01,"1","1","4",0.536578,0,0,"1","ldrc_0_009","1",1,"1","A_first"
83,223,223.01,"0","0","1",0.515944,0,0,"1","ldrc_0_009","1",1,"1","A_first"
84,225,225.01,"0","0","1",0.622054,0,0,"1","ldrc_0_009","1",1,"1","A_first"
85,227,227.01,"1","1","4",0.458293,0,0,"1","ldrc_0_009","1",1,"1","A_first"
86,230,230.01,"1","1","4",0.581097,0,0,"1","ldrc_0_009","1",1,"1","A_first"
87,232,232.01,"1","1","4",0.585379,0,0,"1","ldrc_0_009","1",1,"1","A_first"
88,234,234.01,"0","0","1",0.5446,0,0,"1","ldrc_0_009","1",1,"1","A_first"
89,238,238.01,"0","0","1",0.507085,0,0,"1","ldrc_0_009","1",1,"1","A_first"
90,240,240.01,"0","0","1",0.527319,0,0,"1","ldrc_0_009","1",1,"1","A_first"
91,242,242.02,"0","0","1",0.5996,0,0,"1","ldrc_0_009","1",1,"1","A_first"
92,249,249.02,"1","1","4",0.459935,0,0,"1","ldrc_0_009","1",1,"1","A_first"
93,253,253,"1","1","1",0.389042,0,0,"0","ldrc_0_009","1",1,"1","A_first"
94,257,257,"2","0","0",0,1,0.15,"4","ldrc_0_009","1",1,"1","A_first"
95,259,259.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
96,261,261.01,"2","0","1",0.447086,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
97,265,265.01,"0","0","4",0.910565,0,0,"0","ldrc_0_009","1",1,"1","A_first"
98,271,271.01,"2","0","0",0,1,0.2,"4","ldrc_0_009","1",1,"1","A_first"
99,276,276.01,"2","0","0",0,1,0.25,"4","ldrc_0_009","1",1,"1","A_first"
100,278,278.01,"2","0","0",0,1,0.3,"4","ldrc_0_009","1",1,"1","A_first"
101,280,280.01,"1","1","4",0.482716,0,0,"1","ldrc_0_009","1",1,"1","A_first"
102,282,282.02,"1","1","4",0.44596,0,0,"1","ldrc_0_009","1",1,"1","A_first"
103,284,284.02,"0","0","1",0.621256,0,0,"1","ldrc_0_009","1",1,"1","A_first"
104,286,286.02,"1","1","4",0.711413,0,0,"1","ldrc_0_009","1",1,"1","A_first"
105,288,288.02,"1","1","4",0.50366,0,0,"1","ldrc_0_009","1",1,"1","A_first"
106,291,291,"2","0","0",0,1,0.35,"4","ldrc_0_009","1",1,"1","A_first"
107,295,295,"0","0","1",0.668506,0,0,"1","ldrc_0_009","1",1,"1","A_first"
108,298,298.01,"2","0","1",0.530553,1,0.4,"3","ldrc_0_009","1",1,"1","A_first"
109,300,300.01,"2","0","1",0.393722,1,0.35,"3","ldrc_0_009","1",1,"1","A_first"
110,302,302.01,"0","0","1",0.449927,0,0,"1","ldrc_0_009","1",1,"1","A_first"
111,305,305.01,"1","1","4",0.489745,0,0,"1","ldrc_0_009","1",1,"1","A_first"
112,307,307.01,"1","1","4",0.487118,0,0,"1","ldrc_0_009","1",1,"1","A_first"
113,309,309.01,"0","0","1",0.430237,0,0,"1","ldrc_0_009","1",1,"1","A_first"
114,312,312.01,"3","1","4",0.480173,1,0.3,"3","ldrc_0_009","1",1,"1","A_first"
115,317,317.01,"0","0","1",0.43335,0,0,"1","ldrc_0_009","1",1,"1","A_first"
116,319,319.01,"1","1","4",0.70858,0,0,"1","ldrc_0_009","1",1,"1","A_first"
117,321,321.01,"0","0","1",0.653728,0,0,"1","ldrc_0_009","1",1,"1","A_first"
118,323,323.02,"0","0","1",0.568102,0,0,"1","ldrc_0_009","1",1,"1","A_first"
119,325,325.02,"1","1","4",0.33529,0,0,"1","ldrc_0_009","1",1,"1","A_first"
120,329,329.02,"2","0","1",0.44677,1,0.25,"3","ldrc_0_009","1",1,"1","A_first"
121,331,331,"1","1","4",0.496683,0,0,"1","ldrc_0_009","1",1,"1","A_first"
122,335,335,"1","1","4",0.534872,0,0,"1","ldrc_0_009","1",1,"1","A_first"
123,337,337,"1","1","4",0.450308,0,0,"1","ldrc_0_009","1",1,"1","A_first"
124,339,339.01,"1","1","4",0.612602,0,0,"1","ldrc_0_009","1",1,"1","A_first"
125,341,341.01,"1","1","4",0.840892,0,0,"1","ldrc_0_009","1",1,"1","A_first"
126,343,343.01,"1","1","4",0.358025,0,0,"1","ldrc_0_009","1",1,"1","A_first"
127,348,348.01,"2","0","1",0.484016,1,0.2,"3","ldrc_0_009","1",1,"1","A_first"
0,0,0.02,"0","0","1",0.603099,0,0,"1","ldrc_0_009","2",1,"1","A_first"
1,2,2.02,"0","0","1",0.482131,0,0,"1","ldrc_0_009","2",1,"1","A_first"
2,6,6,"0","0","1",0.472151,0,0,"1","ldrc_0_009","2",1,"1","A_first"
3,8,8,"1","1","4",0.363725,0,0,"1","ldrc_0_009","2",1,"1","A_first"
4,10,10,"1","1","4",0.501971,0,0,"1","ldrc_0_009","2",1,"1","A_first"
5,12,12,"1","1","4",0.75421,0,0,"1","ldrc_0_009","2",1,"1","A_first"
6,14,14.01,"1","1","4",0.405346,0,0,"1","ldrc_0_009","2",1,"1","A_first"
7,16,16.01,"1","1","4",0.473722,0,0,"1","ldrc_0_009","2",1,"1","A_first"
8,19,19.01,"1","1","4",0.461482,0,0,"1","ldrc_0_009","2",1,"1","A_first"
9,21,21.01,"0","0","1",0.435803,0,0,"1","ldrc_0_009","2",1,"1","A_first"
10,24,24.01,"2","0","1",0.527704,1,0.25,"3","ldrc_0_009","2",1,"1","A_first"
11,29,29.01,"3","1","4",0.471794,1,0.2,"3","ldrc_0_009","2",1,"1","A_first"
12,31,31.01,"0","0","1",0.694052,0,0,"1","ldrc_0_009","2",1,"1","A_first"
13,33,33.01,"1","1","4",0.431233,0,0,"1","ldrc_0_009","2",1,"1","A_first"
14,35,35.01,"3","1","0",0,1,0.15,"4","ldrc_0_009","2",1,"1","A_first"
15,38,38.02,"1","1","4",0.536406,0,0,"1","ldrc_0_009","2",1,"1","A_first"
16,40,40.02,"1","1","4",0.655462,0,0,"1","ldrc_0_009","2",1,"1","A_first"
17,42,42.02,"3","1","0",0,1,0.2,"4","ldrc_0_009","2",1,"1","A_first"
18,44,44.02,"1","1","4",0.498988,0,0,"1","ldrc_0_009","2",1,"1","A_first"
19,46,46,"1","1","4",0.430656,0,0,"1","ldrc_0_009","2",1,"1","A_first"
20,52,52,"1","1","4",0.507585,0,0,"1","ldrc_0_009","2",1,"1","A_first"
21,55,55.01,"1","1","4",0.49742,0,0,"1","ldrc_0_009","2",1,"1","A_first"
22,57,57.01,"1","1","4",0.583696,0,0,"1","ldrc_0_009","2",1,"1","A_first"
23,59,59.01,"0","0","4",0.747001,0,0,"0","ldrc_0_009","2",1,"1","A_first"
24,61,61.01,"0","0","1",0.874285,0,0,"1","ldrc_0_009","2",1,"1","A_first"
25,63,63.01,"1","1","4",0.580211,0,0,"1","ldrc_0_009","2",1,"1","A_first"
26,65,65.01,"0","0","1",0.913599,0,0,"1","ldrc_0_009","2",1,"1","A_first"
27,68,68.01,"1","1","4",0.487474,0,0,"1","ldrc_0_009","2",1,"1","A_first"
28,71,71.01,"0","0","1",0.465328,0,0,"1","ldrc_0_009","2",1,"1","A_first"
29,73,73.01,"1","1","4",0.484624,0,0,"1","ldrc_0_009","2",1,"1","A_first"
30,80,80.02,"2","0","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
31,87,87.02,"2","0","0",0,1,0.3,"4","ldrc_0_009","2",1,"1","A_first"
32,89,89,"1","1","4",0.628286,0,0,"1","ldrc_0_009","2",1,"1","A_first"
33,91,91,"3","1","4",0.484451,1,0.35,"3","ldrc_0_009","2",1,"1","A_first"
34,94,94,"2","0","0",0,1,0.3,"4","ldrc_0_009","2",1,"1","A_first"
35,96,96.01,"0","0","1",0.547433,0,0,"1","ldrc_0_009","2",1,"1","A_first"
36,98,98.01,"1","1","4",0.462523,0,0,"1","ldrc_0_009","2",1,"1","A_first"
37,100,100.01,"0","0","1",0.699076,0,0,"1","ldrc_0_009","2",1,"1","A_first"
38,103,103.01,"0","0","1",0.602015,0,0,"1","ldrc_0_009","2",1,"1","A_first"
39,106,106.01,"2","0","1",0.460708,1,0.35,"3","ldrc_0_009","2",1,"1","A_first"
40,108,108.01,"0","0","1",0.50589,0,0,"1","ldrc_0_009","2",1,"1","A_first"
41,111,111.01,"0","0","1",0.491704,0,0,"1","ldrc_0_009","2",1,"1","A_first"
42,113,113.01,"3","1","4",0.501954,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
43,115,115.01,"2","0","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
44,118,118.01,"3","1","0",0,1,0.3,"4","ldrc_0_009","2",1,"1","A_first"
45,120,120.02,"1","1","4",0.59026,0,0,"1","ldrc_0_009","2",1,"1","A_first"
46,124,124.02,"1","1","4",0.597114,0,0,"1","ldrc_0_009","2",1,"1","A_first"
47,126,126.02,"0","0","1",0.463975,0,0,"1","ldrc_0_009","2",1,"1","A_first"
48,128,128,"0","0","0",0,0,0,"5","ldrc_0_009","2",1,"1","A_first"
49,130,130,"2","0","1",0.499177,1,0.35,"3","ldrc_0_009","2",1,"1","A_first"
50,132,132,"3","1","4",0.524214,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
51,134,134,"3","1","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
52,136,136.01,"0","0","1",0.51478,0,0,"1","ldrc_0_009","2",1,"1","A_first"
53,139,139.01,"1","1","4",0.626758,0,0,"1","ldrc_0_009","2",1,"1","A_first"
54,142,142.01,"0","0","1",0.449561,0,0,"1","ldrc_0_009","2",1,"1","A_first"
55,144,144.01,"1","1","4",0.477888,0,0,"1","ldrc_0_009","2",1,"1","A_first"
56,146,146.01,"1","1","4",0.669944,0,0,"1","ldrc_0_009","2",1,"1","A_first"
57,148,148.01,"0","0","1",0.480193,0,0,"1","ldrc_0_009","2",1,"1","A_first"
58,150,150.01,"1","1","4",0.438561,0,0,"1","ldrc_0_009","2",1,"1","A_first"
59,152,152.01,"0","0","1",0.532686,0,0,"1","ldrc_0_009","2",1,"1","A_first"
60,154,154.01,"0","0","1",0.540973,0,0,"1","ldrc_0_009","2",1,"1","A_first"
61,158,158.01,"3","1","0",0,1,0.3,"4","ldrc_0_009","2",1,"1","A_first"
62,161,161.02,"2","0","1",0.551422,1,0.35,"3","ldrc_0_009","2",1,"1","A_first"
63,163,163.02,"2","0","0",0,1,0.3,"4","ldrc_0_009","2",1,"1","A_first"
64,171,171.02,"0","0","1",0.896204,0,0,"1","ldrc_0_009","2",1,"1","A_first"
65,176,176,"1","1","4",0.956266,0,0,"1","ldrc_0_009","2",1,"1","A_first"
66,179,179.01,"0","0","1",0.425107,0,0,"1","ldrc_0_009","2",1,"1","A_first"
67,184,184.01,"0","0","1",0.525139,0,0,"1","ldrc_0_009","2",1,"1","A_first"
68,186,186.01,"0","0","1",0.711372,0,0,"1","ldrc_0_009","2",1,"1","A_first"
69,190,190.01,"0","0","1",0.459798,0,0,"1","ldrc_0_009","2",1,"1","A_first"
70,192,192.01,"1","1","4",0.83607,0,0,"1","ldrc_0_009","2",1,"1","A_first"
71,194,194.01,"1","1","4",0.423137,0,0,"1","ldrc_0_009","2",1,"1","A_first"
72,196,196.01,"1","1","4",0.526569,0,0,"1","ldrc_0_009","2",1,"1","A_first"
73,199,199.01,"2","0","1",0.444475,1,0.35,"3","ldrc_0_009","2",1,"1","A_first"
74,201,201.02,"3","1","4",0.360641,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
75,204,204.02,"2","0","1",0.528509,1,0.25,"3","ldrc_0_009","2",1,"1","A_first"
76,207,207.02,"1","1","4",0.588375,0,0,"1","ldrc_0_009","2",1,"1","A_first"
77,211,211,"1","1","4",0.487618,0,0,"1","ldrc_0_009","2",1,"1","A_first"
78,214,214,"0","0","1",0.563346,0,0,"1","ldrc_0_009","2",1,"1","A_first"
79,216,216,"0","0","1",0.580561,0,0,"1","ldrc_0_009","2",1,"1","A_first"
80,219,219.01,"0","0","1",0.525464,0,0,"1","ldrc_0_009","2",1,"1","A_first"
81,221,221.01,"0","0","1",0.652791,0,0,"1","ldrc_0_009","2",1,"1","A_first"
82,225,225.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","2",1,"1","A_first"
83,227,227.01,"1","1","4",0.776414,0,0,"1","ldrc_0_009","2",1,"1","A_first"
84,229,229.01,"3","1","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
85,231,231.01,"2","0","1",0.426953,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
86,233,233.01,"3","1","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
87,238,238.01,"1","1","4",0.590224,0,0,"1","ldrc_0_009","2",1,"1","A_first"
88,240,240.01,"1","1","4",0.5662,0,0,"1","ldrc_0_009","2",1,"1","A_first"
89,244,244.02,"1","1","4",0.486877,0,0,"1","ldrc_0_009","2",1,"1","A_first"
90,246,246.02,"0","0","1",0.455979,0,0,"1","ldrc_0_009","2",1,"1","A_first"
91,248,248.02,"1","1","4",0.387362,0,0,"1","ldrc_0_009","2",1,"1","A_first"
92,250,250,"1","1","4",0.46522,0,0,"1","ldrc_0_009","2",1,"1","A_first"
93,252,252,"1","1","4",0.416426,0,0,"1","ldrc_0_009","2",1,"1","A_first"
94,255,255,"2","0","1",0.533404,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
95,257,257.01,"1","1","4",0.45062,0,0,"1","ldrc_0_009","2",1,"1","A_first"
96,259,259.01,"0","0","1",0.525949,0,0,"1","ldrc_0_009","2",1,"1","A_first"
97,261,261.01,"0","0","1",0.601056,0,0,"1","ldrc_0_009","2",1,"1","A_first"
98,263,263.01,"3","1","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
99,265,265.01,"0","0","1",0.350623,0,0,"1","ldrc_0_009","2",1,"1","A_first"
100,267,267.01,"1","1","4",0.451845,0,0,"1","ldrc_0_009","2",1,"1","A_first"
101,269,269.01,"0","0","1",0.510089,0,0,"1","ldrc_0_009","2",1,"1","A_first"
102,274,274.01,"3","1","4",0.4563,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
103,276,276.01,"2","0","1",0.058283,1,0.25,"3","ldrc_0_009","2",1,"1","A_first"
104,279,279.01,"0","0","1",0.589316,0,0,"1","ldrc_0_009","2",1,"1","A_first"
105,281,281.01,"0","0","1",0.571568,0,0,"1","ldrc_0_009","2",1,"1","A_first"
106,286,286.02,"1","1","4",0.463543,0,0,"1","ldrc_0_009","2",1,"1","A_first"
107,290,290.02,"1","1","4",0.515007,0,0,"1","ldrc_0_009","2",1,"1","A_first"
108,293,293,"0","0","1",0.552547,0,0,"1","ldrc_0_009","2",1,"1","A_first"
109,295,295,"0","0","1",0.653748,0,0,"1","ldrc_0_009","2",1,"1","A_first"
110,297,297,"1","1","4",0.522093,0,0,"1","ldrc_0_009","2",1,"1","A_first"
111,300,300.01,"0","0","1",0.591914,0,0,"1","ldrc_0_009","2",1,"1","A_first"
112,302,302.01,"0","0","1",0.901114,0,0,"1","ldrc_0_009","2",1,"1","A_first"
113,308,308.01,"3","1","0",0,1,0.2,"4","ldrc_0_009","2",1,"1","A_first"
114,310,310.01,"0","0","1",0.554041,0,0,"1","ldrc_0_009","2",1,"1","A_first"
115,312,312.01,"2","0","0",0,1,0.25,"4","ldrc_0_009","2",1,"1","A_first"
116,314,314.01,"0","0","1",0.868511,0,0,"1","ldrc_0_009","2",1,"1","A_first"
117,316,316.01,"0","0","1",0.68573,0,0,"1","ldrc_0_009","2",1,"1","A_first"
118,318,318.01,"0","0","1",0.92483,0,0,"1","ldrc_0_009","2",1,"1","A_first"
119,324,324.02,"1","1","4",0.735474,0,0,"1","ldrc_0_009","2",1,"1","A_first"
120,326,326.02,"1","1","0",0,0,0,"5","ldrc_0_009","2",1,"1","A_first"
121,329,329.02,"0","0","1",0.399843,0,0,"1","ldrc_0_009","2",1,"1","A_first"
122,331,331,"0","0","1",0.586591,0,0,"1","ldrc_0_009","2",1,"1","A_first"
123,333,333,"1","1","4",0.373762,0,0,"1","ldrc_0_009","2",1,"1","A_first"
124,337,337,"1","1","4",0.525318,0,0,"1","ldrc_0_009","2",1,"1","A_first"
125,339,339.01,"2","0","1",0.590877,1,0.3,"3","ldrc_0_009","2",1,"1","A_first"
126,344,344.01,"1","1","4",0.723753,0,0,"1","ldrc_0_009","2",1,"1","A_first"
127,346,346.01,"0","0","1",0.825742,0,0,"1","ldrc_0_009","2",1,"1","A_first"
0,0,0.02,"1","1","0",0,0,0,"5","ldrc_0_018","1",1,"1","A_first"
1,2,2.02,"1","1","1",0.362277,0,0,"0","ldrc_0_018","1",1,"1","A_first"
2,5,5.02,"1","1","4",0.386158,0,0,"1","ldrc_0_018","1",1,"1","A_first"
3,12,12,"0","0","1",0.441177,0,0,"1","ldrc_0_018","1",1,"1","A_first"
4,14,14.01,"3","1","4",0.426486,1,0.25,"3","ldrc_0_018","1",1,"1","A_first"
5,16,16.01,"3","1","4",0.558631,1,0.2,"3","ldrc_0_018","1",1,"1","A_first"
6,18,18.01,"2","0","1",0.485038,1,0.15,"3","ldrc_0_018","1",1,"1","A_first"
7,21,21.01,"0","0","1",0.570834,0,0,"1","ldrc_0_018","1",1,"1","A_first"
8,23,23.01,"1","1","4",0.560981,0,0,"1","ldrc_0_018","1",1,"1","A_first"
9,25,25.01,"0","0","1",0.905299,0,0,"1","ldrc_0_018","1",1,"1","A_first"
10,34,34.01,"0","0","1",0.636712,0,0,"1","ldrc_0_018","1",1,"1","A_first"
11,36,36.01,"1","1","4",0.775054,0,0,"1","ldrc_0_018","1",1,"1","A_first"
12,39,39.02,"1","1","4",0.500777,0,0,"1","ldrc_0_018","1",1,"1","A_first"
13,41,41.02,"0","0","1",0.422073,0,0,"1","ldrc_0_018","1",1,"1","A_first"
14,43,43.02,"0","0","1",0.534317,0,0,"1","ldrc_0_018","1",1,"1","A_first"
15,46,46,"0","0","1",0.574749,0,0,"1","ldrc_0_018","1",1,"1","A_first"
16,48,48,"1","1","4",0.492997,0,0,"1","ldrc_0_018","1",1,"1","A_first"
17,51,51,"1","1","4",0.489898,0,0,"1","ldrc_0_018","1",1,"1","A_first"
18,56,56.01,"3","1","0",0,1,0.1,"4","ldrc_0_018","1",1,"1","A_first"
19,58,58.01,"3","1","0",0,1,0.15,"4","ldrc_0_018","1",1,"1","A_first"
20,61,61.01,"0","0","1",0.549989,0,0,"1","ldrc_0_018","1",1,"1","A_first"
21,63,63.01,"3","1","0",0,1,0.2,"4","ldrc_0_018","1",1,"1","A_first"
22,66,66.01,"1","1","4",0.447204,0,0,"1","ldrc_0_018","1",1,"1","A_first"
23,69,69.01,"1","1","4",0.515086,0,0,"1","ldrc_0_018","1",1,"1","A_first"
24,71,71.01,"0","0","1",0.73116,0,0,"1","ldrc_0_018","1",1,"1","A_first"
25,73,73.01,"0","0","1",0.631553,0,0,"1","ldrc_0_018","1",1,"1","A_first"
26,75,75.01,"0","0","1",0.701594,0,0,"1","ldrc_0_018","1",1,"1","A_first"
27,77,77.01,"1","1","4",0.544909,0,0,"1","ldrc_0_018","1",1,"1","A_first"
28,79,79.02,"1","1","4",0.44439,0,0,"1","ldrc_0_018","1",1,"1","A_first"
29,81,81.02,"1","1","4",0.470434,0,0,"1","ldrc_0_018","1",1,"1","A_first"
30,83,83.02,"0","0","1",0.573695,0,0,"1","ldrc_0_018","1",1,"1","A_first"
31,86,86,"2","0","1",0.538179,1,0.25,"3","ldrc_0_018","1",1,"1","A_first"
32,88,88,"2","0","0",0,1,0.2,"4","ldrc_0_018","1",1,"1","A_first"
33,90,90,"3","1","4",0.45565,1,0.25,"3","ldrc_0_018","1",1,"1","A_first"
