"subind","runnum","N","stop_acc","stop_error","stop_fail_cor","stop_fail_incor","ssd_med","ssd_mean","quantileRT","SSRT","groups"
"1_007_third","1",128,0.59375,0.40625,0.40625,0,0.425,0.403125,0.690041875,0.286916875,"A_third"
"1_007_third","2",128,0.59375,0.40625,0.40625,0,0.55,0.55,0.64965009375,0.0996500937499999,"A_third"
"1_036_third","1",128,0.46875,0.53125,0.53125,0,0.275,0.278125,0.5212835625,0.2431585625,"A_third"
"1_036_third","2",128,0.5,0.5,0.46875,0.03125,0.25,0.26875,0.555105,0.286355,"A_third"
"2_005_third","1",128,0.5625,0.4375,0.4375,0,0.35,0.35625,0.566772,0.210522,"A_third"
"2_005_third","2",128,0.5625,0.4375,0.4375,0,0.45,0.44375,0.603455,0.159705,"A_third"
"2_008_third","1",128,0.5,0.5,0.46875,0.03125,0.25,0.25625,0.460567,0.204317,"A_third"
"2_008_third","2",128,0.5,0.5,0.5,0,0.3,0.3125,0.525254,0.212754,"A_third"
"2_010_third","1",128,0.53125,0.46875,0.40625,0.0625,0.475,0.453125,0.66750709375,0.21438209375,"A_third"
"2_010_third","2",128,0.59375,0.40625,0.40625,0,0.5,0.48125,0.63745375,0.15620375,"A_third"
"2_034_third","1",128,0.5625,0.4375,0.4375,0,0.375,0.4,0.5756013125,0.1756013125,"A_third"
"2_034_third","2",128,0.5625,0.4375,0.4375,0,0.4,0.375,0.64959775,0.27459775,"A_third"
"ldrc2_0_104","1",128,0.59375,0.40625,0.40625,0,0.4,0.428125,0.696744375,0.268619375,"A_first2"
"ldrc2_0_104","2",128,0.5625,0.4375,0.4375,0,0.475,0.465625,0.704014375,0.238389375,"A_first2"
"ldrc2_0_122","1",128,0.625,0.375,0.375,0,0.45,0.46875,0.616129,0.147379,"A_first2"
"ldrc2_0_122","2",128,0.59375,0.40625,0.40625,0,0.525,0.509375,0.733165,0.22379,"A_first2"
"ldrc2_0_123","1",128,0.5625,0.4375,0.4375,0,0.4,0.409375,0.6849241875,0.2755491875,"A_first2"
"ldrc2_0_123","2",128,0.5625,0.4375,0.4375,0,0.475,0.465625,0.703719,0.238094,"A_first2"
"ldrc2_0_124","1",128,0.5625,0.4375,0.4375,0,0.35,0.365625,0.60592375,0.24029875,"A_first2"
"ldrc2_0_124","2",128,0.5625,0.4375,0.4375,0,0.45,0.434375,0.6496239375,0.2152489375,"A_first2"
"ldrc2_0_128","1",128,0.53125,0.46875,0.46875,0,0.4,0.39375,0.62089325,0.22714325,"A_first2"
"ldrc2_0_128","2",128,0.5,0.5,0.46875,0.03125,0.35,0.36875,0.6559195,0.2871695,"A_first2"
"ldrc2_0_135","1",128,0.5,0.5,0.4375,0.0625,0.4,0.38125,0.600173,0.218923,"A_first2"
"ldrc2_0_135","2",128,0.5,0.5,0.5,0,0.3,0.29375,0.638418,0.344668,"A_first2"
"ldrc2_0_137","1",128,0.5,0.5,0.375,0.125,0.275,0.278125,0.546268,0.268143,"A_first2"
"ldrc2_0_137","2",128,0.5,0.5,0.4375,0.0625,0.25,0.221875,0.550815,0.32894,"A_first2"
"ldrc2_0_140","1",128,0.5625,0.4375,0.4375,0,0.5,0.490625,0.7644558125,0.2738308125,"A_first2"
"ldrc2_0_145","1",128,0.59375,0.40625,0.40625,0,0.325,0.3625,0.586908,0.224408,"A_first2"
"ldrc2_0_145","2",128,0.53125,0.46875,0.40625,0.0625,0.35,0.34375,0.599774625,0.256024625,"A_first2"
"ldrc2_0_151","1",128,0.5625,0.4375,0.4375,0,0.45,0.425,0.6053971875,0.1803971875,"A_first2"
"ldrc2_0_151","2",128,0.5625,0.4375,0.40625,0.03125,0.4,0.390625,0.65356925,0.26294425,"A_first2"
"ldrc2_0_172","1",128,0.59375,0.40625,0.40625,0,0.45,0.421875,0.6873385625,0.2654635625,"A_first2"
"ldrc2_0_172","2",128,0.5625,0.4375,0.4375,0,0.575,0.546875,0.775541,0.228666,"A_first2"
"ldrc2_0_175","1",128,0.5625,0.4375,0.40625,0.03125,0.35,0.353125,0.517696,0.164571,"A_first2"
"ldrc2_0_175","2",128,0.53125,0.46875,0.46875,0,0.35,0.346875,0.5438185625,0.1969435625,"A_first2"
"ldrc2_1_129","1",128,0.5,0.5,0.5,0,0.35,0.3375,0.5604735,0.2229735,"A_first2"
"ldrc2_1_129","2",128,0.53125,0.46875,0.4375,0.03125,0.35,0.33125,0.557869875,0.226619875,"A_first2"
"ldrc2_1_133","1",128,0.5625,0.4375,0.375,0.0625,0.45,0.440625,0.6006765,0.1600515,"A_first2"
"ldrc2_1_133","2",128,0.5625,0.4375,0.4375,0,0.45,0.446875,0.5944918125,0.1476168125,"A_first2"
"ldrc2_1_139","1",128,0.59375,0.40625,0.40625,0,0.45,0.453125,0.62366775,0.17054275,"A_first2"
"ldrc2_1_139","2",128,0.5625,0.4375,0.4375,0,0.475,0.4875,0.6959725,0.2084725,"A_first2"
"ldrc2_1_141","1",128,0.5625,0.4375,0.4375,0,0.25,0.309375,0.5705615625,0.2611865625,"A_first2"
"ldrc2_1_141","2",128,0.5,0.5,0.4375,0.0625,0.3,0.29375,0.557356,0.263606,"A_first2"
"ldrc2_1_143","1",128,0.59375,0.40625,0.40625,0,0.625,0.571875,0.73755925,0.16568425,"A_first2"
"ldrc2_1_143","2",128,0.59375,0.40625,0.40625,0,0.5,0.46875,0.7080638125,0.2393138125,"A_first2"
"ldrc2_1_147","1",128,0.5625,0.4375,0.375,0.0625,0.35,0.334375,0.599118,0.264743,"A_first2"
"ldrc2_1_147","2",128,0.53125,0.46875,0.3125,0.15625,0.25,0.25625,0.584769,0.328519,"A_first2"
"ldrc2_1_152","1",128,0.53125,0.46875,0.46875,0,0.5,0.496875,0.73149525,0.23462025,"A_first2"
"ldrc2_1_157","1",128,0.5625,0.4375,0.4375,0,0.475,0.4875,0.6898605,0.2023605,"A_first2"
"ldrc2_1_157","2",128,0.59375,0.40625,0.40625,0,0.525,0.528125,0.7294546875,0.2013296875,"A_first2"
"1627_2","1",128,0.625,0.375,0.3125,0.0625,0.45,0.4625,0.63891675,0.17641675,"H_first"
"1986_1_second","1",128,0.59375,0.40625,0.34375,0.0625,0.575,0.534375,0.7047076875,0.1703326875,"H_second"
"1986_1_second","2",128,0.71875,0.28125,0.28125,0,0.8,0.690625,0.7410984375,0.0504734374999999,"H_second"
"2436_2_second","1",128,0.59375,0.40625,0.40625,0,0.6,0.56875,0.6690589375,0.1003089375,"H_second"
"2436_2_second","2",128,0.59375,0.40625,0.40625,0,0.65,0.625,0.72722375,0.10222375,"H_second"
"2569_2_second","1",128,0.625,0.375,0.375,0,0.65,0.596875,0.743054125,0.146179125,"H_second"
"2569_2_second","2",128,0.6875,0.3125,0.3125,0,0.75,0.70625,0.7210274375,0.0147774374999999,"H_second"
"2748_1_second","1",128,0.5625,0.4375,0.40625,0.03125,0.4,0.396875,0.5095688125,0.1126938125,"H_second"
"2748_1_second","2",128,0.625,0.375,0.28125,0.09375,0.35,0.3875,0.479754,0.0922539999999999,"H_second"
"1589_2_third","1",128,0.59375,0.40625,0.40625,0,0.3,0.33125,0.53711425,0.20586425,"H_third"
"1690_2_third","1",128,0.53125,0.46875,0.46875,0,0.5,0.5,0.64500325,0.14500325,"H_third"
"1690_2_third","2",128,0.53125,0.46875,0.4375,0.03125,0.45,0.484375,0.69379721875,0.20942221875,"H_third"
"1697_1_third","1",128,0.625,0.375,0.375,0,0.575,0.540625,0.6863955,0.1457705,"H_third"
"2079_2_third","1",128,0.53125,0.46875,0.40625,0.0625,0.35,0.353125,0.606404625,0.253279625,"H_third"
"2079_2_third","2",128,0.5625,0.4375,0.40625,0.03125,0.5,0.44375,0.5705095,0.1267595,"H_third"
"2167_2_third","1",128,0.53125,0.46875,0.46875,0,0.375,0.36875,0.5406229375,0.1718729375,"H_third"
"2167_2_third","2",128,0.5,0.5,0.5,0,0.375,0.36875,0.539801,0.171051,"H_third"
"2416_1_third","1",128,0.5625,0.4375,0.4375,0,0.45,0.43125,0.60034975,0.16909975,"H_third"
"2416_1_third","2",128,0.53125,0.46875,0.4375,0.03125,0.3,0.334375,0.66264125,0.32826625,"H_third"
"2479_1_third","1",128,0.53125,0.46875,0.46875,0,0.4,0.384375,0.585078375,0.200703375,"H_third"
"2479_1_third","2",128,0.53125,0.46875,0.46875,0,0.4,0.403125,0.63312709375,0.23000209375,"H_third"
"2798_1_third","1",128,0.5625,0.4375,0.4375,0,0.45,0.409375,0.5847006875,0.1753256875,"H_third"
"DFHO1794_1","1",128,0.28125,0.71875,0.59375,0.125,0.05,0.075,0.532275375,0.457275375,"H2_first"
"DFHO1794_1","2",128,0.5,0.5,0.5,0,0.35,0.321875,0.6168465,0.2949715,"H2_first"
"DFHO5782_1","1",128,0.59375,0.40625,0.40625,0,0.5,0.459375,0.64644375,0.18706875,"H2_first"
"DFHO5782_1","2",128,0.59375,0.40625,0.375,0.03125,0.45,0.440625,0.63011921875,0.18949421875,"H2_first"
"DFHO6598_0","1",128,0.5625,0.4375,0.4375,0,0.5,0.48125,0.645793125,0.164543125,"H2_first"
"DFHO6598_0","2",128,0.5625,0.4375,0.4375,0,0.55,0.5125,0.683022125,0.170522125,"H2_first"
"DFHO9087_1","1",128,0.5625,0.4375,0.4375,0,0.25,0.265625,0.44082175,0.17519675,"H2_first"
"DFHO9087_1","2",128,0.5625,0.4375,0.4375,0,0.45,0.434375,0.49777475,0.06339975,"H2_first"
"FHO10238_1","1",128,0.59375,0.40625,0.375,0.03125,0.6,0.58125,0.5618258125,-0.0194241875000001,"H2_first"
"FHO10238_1","2",128,0.625,0.375,0.375,0,0.4,0.403125,0.553441,0.150316,"H2_first"
"FHO10328_1","1",128,0.5,0.5,0.34375,0.15625,0.25,0.275,0.5644755,0.2894755,"H2_first"
"FHO10328_1","2",128,0.5625,0.4375,0.40625,0.03125,0.55,0.50625,0.5554665625,0.0492165625000001,"H2_first"
"FHO10493_1","1",128,0.53125,0.46875,0.46875,0,0.3,0.29375,0.54879659375,0.25504659375,"H2_first"
"FHO10493_1","2",128,0.53125,0.46875,0.46875,0,0.45,0.4125,0.5566125625,0.1441125625,"H2_first"
"FHO12307_1","1",128,0.5625,0.4375,0.4375,0,0.45,0.440625,0.645177625,0.204552625,"H2_first"
"FHO12307_1","2",128,0.53125,0.46875,0.46875,0,0.35,0.35625,0.681522125,0.325272125,"H2_first"
"c_032","2",128,0.53125,0.46875,0.46875,0,0.4,0.40625,0.591801875,0.185551875,"A_control"
"c_037","1",128,0.53125,0.46875,0.46875,0,0.35,0.35625,0.5882570625,0.2320070625,"A_control"
"c_037","2",128,0.59375,0.40625,0.375,0.03125,0.4,0.425,0.63871796875,0.21371796875,"A_control"
"c_039","1",128,0.5625,0.4375,0.40625,0.03125,0.425,0.41875,0.595148625,0.176398625,"A_control"
"c_039","2",128,0.5625,0.4375,0.4375,0,0.5,0.475,0.5843095625,0.1093095625,"A_control"
"c_043","1",128,0.5,0.5,0.46875,0.03125,0.35,0.346875,0.6067,0.259825,"A_control"
"c_043","2",128,0.5625,0.4375,0.4375,0,0.4,0.4,0.634739,0.234739,"A_control"
"c_044","1",128,0.53125,0.46875,0.46875,0,0.45,0.44375,0.644223625,0.200473625,"A_control"
"c_044","2",128,0.5625,0.4375,0.4375,0,0.45,0.4375,0.660732875,0.223232875,"A_control"
"c_045","1",128,0.53125,0.46875,0.375,0.09375,0.35,0.34375,0.639793875,0.296043875,"A_control"
"c_045","2",128,0.5,0.5,0.40625,0.09375,0.25,0.259375,0.617065,0.35769,"A_control"
"c_046","1",128,0.53125,0.46875,0.46875,0,0.35,0.334375,0.58522753125,0.25085253125,"A_control"
"c_046","2",128,0.5,0.5,0.46875,0.03125,0.3,0.303125,0.562628,0.259503,"A_control"
"c_058","1",128,0.625,0.375,0.34375,0.03125,0.5,0.496875,0.607647375,0.110772375,"A_control"
"c_058","2",128,0.53125,0.46875,0.46875,0,0.35,0.353125,0.6445715625,0.2914465625,"A_control"
"c_059","1",128,0.53125,0.46875,0.46875,0,0.3,0.303125,0.669955875,0.366830875,"A_control"
"c_059","2",128,0.5625,0.4375,0.4375,0,0.5,0.46875,0.6723143125,0.2035643125,"A_control"
"c_061","1",128,0.5625,0.4375,0.40625,0.03125,0.25,0.271875,0.5428275,0.2709525,"A_control"
"c_061","2",128,0.5625,0.4375,0.40625,0.03125,0.3,0.3125,0.5653920625,0.2528920625,"A_control"
"c_062","1",128,0.5625,0.4375,0.40625,0.03125,0.55,0.5375,0.6579520625,0.1204520625,"A_control"
"c_062","2",128,0.53125,0.46875,0.4375,0.03125,0.3,0.31875,0.5610940625,0.2423440625,"A_control"
"c_078","1",128,0.53125,0.46875,0.4375,0.03125,0.25,0.24375,0.56493775,0.32118775,"A_control"
"c_078","2",128,0.5625,0.4375,0.4375,0,0.375,0.38125,0.5718655625,0.1906155625,"A_control"
"c_079","1",128,0.625,0.375,0.375,0,0.6,0.559375,0.737501,0.178126,"A_control"
"c_079","2",128,0.5625,0.4375,0.4375,0,0.4,0.38125,0.613941,0.232691,"A_control"
"c_081","1",128,0.5625,0.4375,0.4375,0,0.4,0.396875,0.491578375,0.094703375,"A_control"
"c_081","2",128,0.53125,0.46875,0.375,0.09375,0.35,0.346875,0.5245523125,0.1776773125,"A_control"
"c_082","1",128,0.5625,0.4375,0.4375,0,0.4,0.4125,0.6038560625,0.1913560625,"A_control"
"c_082","2",128,0.53125,0.46875,0.46875,0,0.35,0.346875,0.551227625,0.204352625,"A_control"
"c_084","1",128,0.625,0.375,0.375,0,0.575,0.565625,0.622673625,0.057048625,"A_control"
"c_084","2",128,0.59375,0.40625,0.40625,0,0.5,0.503125,0.7068905625,0.2037655625,"A_control"
"c_085","1",128,0.46875,0.53125,0.5,0.03125,0.3,0.290625,0.6221690625,0.3315440625,"A_control"
"c_085","2",128,0.4375,0.5625,0.5,0.0625,0.2,0.165625,0.6155945625,0.4499695625,"A_control"
"c_086","1",128,0.5,0.5,0.46875,0.03125,0.325,0.321875,0.6225955,0.3007205,"A_control"
"c_086","2",128,0.5,0.5,0.5,0,0.325,0.325,0.6118845,0.2868845,"A_control"
"c_101","1",128,0.5625,0.4375,0.4375,0,0.325,0.334375,0.63282975,0.29845475,"A_control"
