"groups","N","SSRT_mean","SSRT_se","stop_acc_mean","stop_acc_se"
"A_control",20,0.22896302890625,0.0146890071914296,0.546875,0.00768815519244753
"A_first",13,0.231123346153846,0.0195565929023292,0.546875,0.0164067269466693
"A_first2",20,0.2345423859375,0.00892859143128752,0.55390625,0.00675156460302468
"H2_first",8,0.2092959140625,0.0234218527029022,0.552734375,0.0153256765009592
