"","subind","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","groups","ID","ID2","INT","city"
"44","0_135",1,0.5,0.5,0.5,0.5,0.29375,0.638418,0.344668,"A_first2","0","0","i","Austin"
"45","0_137",2,0.5,0.5,0.40625,0.40625,0.25,0.5485415,0.2985415,"A_first2","0","0","i","Austin"
"46","0_140",1,0.5625,0.4375,0.4375,0.4375,0.490625,0.7644558125,0.2738308125,"A_first2","0","0","i","Austin"
"47","0_143",2,0.59375,0.40625,0.40625,0.40625,0.5203125,0.72281153125,0.20249903125,"A_first2","0","0","i","Austin"
"48","0_145",2,0.5625,0.4375,0.40625,0.40625,0.353125,0.5933413125,0.2402163125,"A_first2","0","0","i","Austin"
"49","0_151",2,0.5625,0.4375,0.421875,0.421875,0.4078125,0.62948321875,0.22167071875,"A_first2","0","0","i","Austin"
"50","0_172",2,0.578125,0.421875,0.421875,0.421875,0.484375,0.73143978125,0.24706478125,"A_first2","0","0","i","Austin"
"51","1_129",2,0.515625,0.484375,0.46875,0.46875,0.334375,0.5591716875,0.2247966875,"A_first2","1","1","i","Austin"
"52","1_133",2,0.5625,0.4375,0.40625,0.40625,0.44375,0.59758415625,0.15383415625,"A_first2","1","1","i","Austin"
"53","1_139",2,0.578125,0.421875,0.421875,0.421875,0.4703125,0.659820125,0.189507625,"A_first2","1","1","i","Austin"
"54","1_141",2,0.53125,0.46875,0.4375,0.4375,0.3015625,0.56395878125,0.26239628125,"A_first2","1","1","i","Austin"
"55","1_147",2,0.546875,0.453125,0.34375,0.34375,0.2953125,0.5919435,0.296631,"A_first2","1","1","i","Austin"
"56","1_152",1,0.53125,0.46875,0.46875,0.46875,0.496875,0.73149525,0.23462025,"A_first2","1","1","i","Austin"
"57","1_157",2,0.578125,0.421875,0.421875,0.421875,0.5078125,0.70965759375,0.20184509375,"A_first2","1","1","i","Austin"
"58","c_032",1,0.53125,0.46875,0.46875,0.46875,0.40625,0.591801875,0.185551875,"A_control","c","c","c","Austin"
"59","c_037",2,0.5625,0.4375,0.421875,0.421875,0.390625,0.613487515625,0.222862515625,"A_control","c","c","c","Austin"
