"runnum","group","N","stop_acc_me","stop_acc_sd","stop_error_me","stop_error_sd","ssd_me","ssd_sd","quantileRT_me","SSRT_me","SSRT_sd"
"1","A_first",14,0.555803571428571,0.0602710367496621,0.444196428571429,0.0602710367496621,0.3859375,0.113077776479969,0.618474707589286,0.232537207589286,0.0753801346574481
"2","A_first",14,0.537946428571429,0.0627142618557365,0.462053571428571,0.0627142618557365,0.373549107142857,0.136604470488028,0.624415145089286,0.250866037946429,0.0898505582824921
"1","A_second",15,0.539583333333333,0.0417038524542255,0.460416666666667,0.0417038524542255,0.374791666666667,0.112800112266704,0.601993054166667,0.2272013875,0.0572426366441364
"2","A_second",10,0.53125,0.0255155181539914,0.46875,0.0255155181539914,0.32125,0.0563232547690364,0.570527834375,0.249277834375,0.0237790192175812
"1","A_third",11,0.542613636363636,0.0469223245955968,0.457386363636364,0.0469223245955968,0.384090909090909,0.119000185017045,0.599084329545455,0.214993420454545,0.0792129254820184
"2","A_third",9,0.548611111111111,0.0353246353287774,0.451388888888889,0.0353246353287774,0.406597222222222,0.0933774426089859,0.6187491875,0.212151965277778,0.069080480114137
"1","A2_first",16,0.56640625,0.0339941018168348,0.43359375,0.0339941018168348,0.4169921875,0.0796392317049989,0.6389110625,0.221918875,0.0447832483995364
"2","A2_first",12,0.549479166666667,0.0338632709203385,0.450520833333333,0.0338632709203385,0.404427083333333,0.111504897700389,0.656244755208333,0.251817671875,0.0581137072766501
"1","A2_second",12,0.567708333333333,0.0417848702138451,0.432291666666667,0.0417848702138451,0.408854166666667,0.106582312318895,0.631667473958333,0.222813307291667,0.0825658496116926
"2","A2_second",10,0.546875,0.0337538578042076,0.453125,0.0337538578042076,0.420625,0.0709894113778793,0.6505721625,0.2299471625,0.044135143245428
"1","A3_first",20,0.578125,0.0447718999632112,0.421875,0.0447718999632112,0.44671875,0.0938402799956983,0.640720640625,0.194001890625,0.0841072040513484
"2","A3_first",16,0.55078125,0.0376299830587259,0.44921875,0.0376299830587259,0.4263671875,0.103650609709877,0.652163326171875,0.225796138671875,0.0971126486119871
"1","H_first",1,0.625,NA,0.375,NA,0.4625,NA,0.63891675,0.17641675,NA
"1","H_second",4,0.59375,0.0255155181539914,0.40625,0.0255155181539914,0.52421875,0.0886595416349344,0.656597390625,0.132378640625,0.0318691144109295
"2","H_second",1,0.59375,NA,0.40625,NA,0.625,NA,0.72722375,0.10222375,NA
"1","H_third",7,0.558035714285714,0.0379683060183722,0.441964285714286,0.0379683060183722,0.415625,0.0787268484487133,0.600138383928571,0.184513383928571,0.0385274662609695
"2","H_third",5,0.53125,0.0220970869120796,0.46875,0.0220970869120796,0.406875,0.0593503238196726,0.6199752125,0.2131002125,0.0754739563163072
"1","H2_first",8,0.54296875,0.0331456303681194,0.45703125,0.0331456303681194,0.336328125,0.0967804478090745,0.56635786328125,0.23002973828125,0.0828302683581216
"2","H2_first",7,0.540178571428571,0.0347717900165117,0.459821428571429,0.0347717900165117,0.402232142857143,0.0677415211703737,0.605886611607143,0.20365446875,0.0901952291115592
"1","H2_second",6,0.546875,0.0473929715253222,0.453125,0.0473929715253222,0.4765625,0.0692806227418605,0.614916375,0.138353875,0.0788997008167128
"2","H2_second",6,0.546875,0.0430751523502819,0.453125,0.0430751523502819,0.3546875,0.104876229134633,0.606487255208333,0.251799755208333,0.0499847709109689
"1","H3_first",5,0.5625,0.0220970869120796,0.4375,0.0220970869120796,0.430625,0.0489838142910492,0.6028352375,0.1722102375,0.0336351584894461
"2","H3_first",3,0.583333333333333,0.0650520624833166,0.416666666666667,0.0650520624833166,0.477083333333333,0.0563656219102862,0.6378509375,0.160767604166667,0.0669130432312134
"1","A_control",30,0.560416666666667,0.0425903367163162,0.439583333333333,0.0425903367163162,0.418020833333333,0.103870682217272,0.627614636458333,0.209593803125,0.0898736065359535
"2","A_control",29,0.545258620689655,0.0378943245584856,0.454741379310345,0.0378943245584856,0.394396551724138,0.0980750104066075,0.618913051724138,0.2245165,0.0769857156067007
"1","H_control_first",6,0.598958333333333,0.0800797128907607,0.401041666666667,0.0800797128907607,0.430729166666667,0.154356231990052,0.624334666666667,0.1936055,0.08184359125013
"2","H_control_first",6,0.578125,0.0677483855896212,0.421875,0.0677483855896212,0.4796875,0.157380286845272,0.643762041666667,0.164074541666667,0.0658461819255996
