"subind","group","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me"
"ldrc2_1_147","A2_first",2,0.546875,0.453125,0.34375,0.34375,0.2953125,0.5919435,0.296631
"ldrc2_1_152","A2_first",1,0.53125,0.46875,0.46875,0.46875,0.496875,0.73149525,0.23462025
"ldrc2_1_157","A2_first",2,0.578125,0.421875,0.421875,0.421875,0.5078125,0.70965759375,0.20184509375
"ldrc2_0_122_second","A2_second",2,0.59375,0.40625,0.40625,0.40625,0.515625,0.69709528125,0.18147028125
"ldrc2_0_123_second","A2_second",2,0.59375,0.40625,0.40625,0.40625,0.5171875,0.68896975,0.17178225
"ldrc2_0_124_second","A2_second",2,0.546875,0.453125,0.421875,0.421875,0.4234375,0.655220875,0.231783375
"ldrc2_0_137_second","A2_second",2,0.53125,0.46875,0.46875,0.46875,0.30625,0.59118540625,0.28493540625
"ldrc2_0_140_second","A2_second",2,0.546875,0.453125,0.453125,0.453125,0.359375,0.665824296875,0.306449296875
"ldrc2_0_143_second","A2_second",2,0.609375,0.390625,0.390625,0.390625,0.471875,0.6472265625,0.1753515625
"ldrc2_0_145_second","A2_second",2,0.53125,0.46875,0.46875,0.46875,0.434375,0.614260375,0.179885375
"ldrc2_1_115_second","A2_second",1,0.59375,0.40625,0.40625,0.40625,0.509375,0.6370275625,0.1276525625
"ldrc2_1_125_second","A2_second",1,0.59375,0.40625,0.40625,0.40625,0.54375,0.67316840625,0.12941840625
"ldrc2_1_129_second","A2_second",2,0.5625,0.4375,0.4375,0.4375,0.390625,0.65387634375,0.26325134375
"ldrc2_1_133_second","A2_second",2,0.515625,0.484375,0.453125,0.453125,0.3203125,0.57443490625,0.25412240625
"ldrc2_1_147_second","A2_second",2,0.546875,0.453125,0.34375,0.34375,0.2953125,0.5919435,0.296631
"H_LDFHO1627_2","H_first",1,0.625,0.375,0.3125,0.3125,0.4625,0.63891675,0.17641675
"H_LDFHO1986_1_second","H_second",1,0.59375,0.40625,0.34375,0.34375,0.534375,0.7047076875,0.1703326875
"H_LDFHO2436_2_second","H_second",2,0.59375,0.40625,0.40625,0.40625,0.596875,0.69814134375,0.10126634375
"H_LDFHO2569_2_second","H_second",1,0.625,0.375,0.375,0.375,0.596875,0.743054125,0.146179125
"H_LDFHO2748_1_second","H_second",1,0.5625,0.4375,0.40625,0.40625,0.396875,0.5095688125,0.1126938125
"H_LDFHO1589_2_third","H_third",1,0.59375,0.40625,0.40625,0.40625,0.33125,0.53711425,0.20586425
"H_LDFHO1690_2_third","H_third",2,0.53125,0.46875,0.453125,0.453125,0.4921875,0.669400234375,0.177212734375
"H_LDFHO1697_1_third","H_third",1,0.625,0.375,0.375,0.375,0.540625,0.6863955,0.1457705
"H_LDFHO2079_2_third","H_third",2,0.546875,0.453125,0.40625,0.40625,0.3984375,0.5884570625,0.1900195625
"H_LDFHO2167_2_third","H_third",2,0.515625,0.484375,0.484375,0.484375,0.36875,0.54021196875,0.17146196875
"H_LDFHO2416_1_third","H_third",2,0.546875,0.453125,0.4375,0.4375,0.3828125,0.6314955,0.248683
"H_LDFHO2479_1_third","H_third",2,0.53125,0.46875,0.46875,0.46875,0.39375,0.609102734375,0.215352734375
"LDFHO10297_1","H2_first",1,0.5625,0.4375,0.40625,0.40625,0.34375,0.61396575,0.27021575
"LDFHO10328_1","H2_first",1,0.5,0.5,0.34375,0.34375,0.275,0.5644755,0.2894755
"LDFHO10394_1","H2_first",1,0.5,0.5,0.34375,0.34375,0.203125,0.57968,0.376555
"LDFHO10452_1","H2_first",2,0.515625,0.484375,0.453125,0.453125,0.353125,0.53309771875,0.17997271875
"LDFHO10493_1","H2_first",2,0.53125,0.46875,0.46875,0.46875,0.353125,0.552704578125,0.199579578125
"LDFHO12307_1","H2_first",1,0.53125,0.46875,0.46875,0.46875,0.35625,0.681522125,0.325272125
"/LDFHO1794_1","H2_first",1,0.5,0.5,0.5,0.5,0.321875,0.6168465,0.2949715
"/LDFHO5782_1","H2_first",2,0.59375,0.40625,0.390625,0.390625,0.45,0.638281484375,0.188281484375
"/LDFHO6598_0","H2_first",2,0.5625,0.4375,0.4375,0.4375,0.496875,0.664407625,0.167532625
"/LDFHO9087_1","H2_first",2,0.5625,0.4375,0.4375,0.4375,0.35,0.46929825,0.11929825
"LDFHO10328_1_second","H2_second",2,0.53125,0.46875,0.4375,0.4375,0.3734375,0.55148321875,0.17804571875
"LDFHO10493_1_second","H2_second",1,0.59375,0.40625,0.40625,0.40625,0.51875,0.6331490625,0.1143990625
"LDFHO10942_1_second","H2_second",2,0.609375,0.390625,0.390625,0.390625,0.5234375,0.701096359375,0.177658859375
"LDFHO12307_1_second","H2_second",2,0.515625,0.484375,0.46875,0.46875,0.36875,0.617920265625,0.249170265625
"/LDFHO1794_1_second","H2_second",1,0.53125,0.46875,0.4375,0.4375,0.359375,0.590443875,0.231068875
"/LDFHO9087_1_second","H2_second",2,0.53125,0.46875,0.453125,0.453125,0.39375,0.564179328125,0.170429328125
"ldrc_c_032","A_control",2,0.53125,0.46875,0.4375,0.4375,0.3734375,0.62411246875,0.25067496875
"ldrc_c_037","A_control",2,0.5625,0.4375,0.421875,0.421875,0.390625,0.613487515625,0.222862515625
"ldrc_c_039","A_control",2,0.5625,0.4375,0.421875,0.421875,0.446875,0.58972909375,0.14285409375
"ldrc_c_043","A_control",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6207195,0.247282
"ldrc_c_044","A_control",2,0.546875,0.453125,0.453125,0.453125,0.440625,0.65247825,0.21185325
"ldrc_c_045","A_control",2,0.515625,0.484375,0.390625,0.390625,0.3015625,0.6284294375,0.3268669375
"ldrc_c_046","A_control",2,0.515625,0.484375,0.46875,0.46875,0.31875,0.573927765625,0.255177765625
"ldrc_c_058","A_control",2,0.578125,0.421875,0.40625,0.40625,0.425,0.62610946875,0.20110946875
"ldrc_c_059","A_control",2,0.546875,0.453125,0.453125,0.453125,0.3859375,0.67113509375,0.28519759375
"ldrc_c_061","A_control",2,0.5625,0.4375,0.40625,0.40625,0.2921875,0.55410978125,0.26192228125
"ldrc_c_062","A_control",2,0.546875,0.453125,0.421875,0.421875,0.428125,0.6095230625,0.1813980625
"ldrc_c_078","A_control",2,0.546875,0.453125,0.4375,0.4375,0.3125,0.56840165625,0.25590165625
"ldrc_c_079","A_control",2,0.59375,0.40625,0.40625,0.40625,0.4703125,0.675721,0.2054085
"ldrc_c_081","A_control",2,0.546875,0.453125,0.40625,0.40625,0.371875,0.50806534375,0.13619034375
"ldrc_c_082","A_control",2,0.546875,0.453125,0.453125,0.453125,0.3796875,0.57754184375,0.19785434375
"ldrc_c_084","A_control",2,0.609375,0.390625,0.390625,0.390625,0.534375,0.66478209375,0.13040709375
"ldrc_c_085","A_control",2,0.453125,0.546875,0.5,0.5,0.228125,0.6188818125,0.3907568125
"ldrc_c_086","A_control",2,0.5,0.5,0.484375,0.484375,0.3234375,0.61724,0.2938025
"ldrc_c_101","A_control",2,0.578125,0.421875,0.421875,0.421875,0.4109375,0.67594125,0.26500375
"ldrc_c_103","A_control",2,0.5625,0.4375,0.375,0.375,0.4296875,0.611547234375,0.181859734375
"H_LDIMG8957","H_control_first",2,0.640625,0.359375,0.34375,0.34375,0.528125,0.626469703125,0.098344703125
"H_LDIMG8960","H_control_first",2,0.625,0.375,0.375,0.375,0.5828125,0.809039390625,0.226226890625
"H_LDIMG8961","H_control_first",2,0.671875,0.328125,0.328125,0.328125,0.628125,0.73894484375,0.11081984375
"H_LDIMG8963","H_control_first",2,0.578125,0.421875,0.421875,0.421875,0.440625,0.5954944375,0.1548694375
"H_LDIMG8965","H_control_first",2,0.5,0.5,0.5,0.5,0.2875,0.50158375,0.21408375
"H_LDIMG8972","H_control_first",2,0.515625,0.484375,0.4375,0.4375,0.2640625,0.532758,0.2686955
"H_LDIMG8960_c_second","H_control_second",2,0.5625,0.4375,0.4375,0.4375,0.43125,0.64860153125,0.21735153125
"H_LDIMG8961_c_second","H_control_second",2,0.578125,0.421875,0.421875,0.421875,0.45625,0.6130543125,0.1568043125
"H_LDIMG8967_c_second","H_control_second",2,0.625,0.375,0.375,0.375,0.575,0.726657,0.151657
"H_LDIMG8972_c_second","H_control_second",1,0.53125,0.46875,0.46875,0.46875,0.390625,0.601068875,0.210443875
"H_LDIMG8960_c_third","H_control_third",2,0.59375,0.40625,0.40625,0.40625,0.546875,0.74137846875,0.19450346875
"H_LDIMG8963_c_third","H_control_third",2,0.5625,0.4375,0.4375,0.4375,0.3046875,0.503498234375,0.198810734375
